aids_report_number,local_event_date,event_city,event_state,event_airport,event_type,aircraft_damage,flight_phase,aircraft_make,aircraft_model,aircraft_series,operator,primary_flight_type,flight_conduct_code,flight_plan_filed_code,aircraft_registration_nbr,total_fatalities,total_injuries,aircraft_engine_make,aircraft_engine_model,engine_group_code,nbr_of_engines,pic_certificate_type,pic_flight_time_total_hrs,pic_flight_time_total_make-model,NULL,NULL
19880101003289I,01-JAN-88,INDIANAPOLIS,IN,INDIANAPOLIS INTL,INCIDENT,NULL,CLIMB,SWEARINGEN-FAIRCHILD,SA-227,SA-227-AC,FLAGSHIP AIRLINES INC,AIR TAXI COMMUTER (SCHEDULED 5 OR MORE ROUNDTRIPS PER WEEK),AIR TAXI/COMMUTER,INSTRUMENT FLIGHT RULES,190MA,0,0,NULL,NULL,NULL,2,AIRLINE TRANSPORT,4750,1200,120,120
19880101004049I,01-JAN-88,LYNCHBURG,VA,LYNCHBURG RGNL/PRESTON GLENN FLD,INCIDENT,NULL,NORMAL CRUISE,SWEARINGEN-FAIRCHILD,SA-227,SA-227-AC,CHAUTAUQUA AIRLINES INC,AIR TAXI COMMUTER (SCHEDULED 5 OR MORE ROUNDTRIPS PER WEEK),AIR TAXI/COMMUTER,INSTRUMENT FLIGHT RULES,3115T,0,0,ARSRCH,TPE33111U    ,TPE331,2,AIRLINE TRANSPORT PILOT FLIGHT INSTRUCTOR,4580,2555,181,181
19880101006309I,01-JAN-88,OLYMPIA,WA,OLYMPIA,INCIDENT,MINOR,ROLL-OUT (FIXED WING),CESSNA,CE-172,CE-172-K,NULL,PERSONAL,GENERAL OPERATING RULES,VISUAL FLIGHT RULES,758MH,0,0,CONT  ,IO360K       ,O360  ,1,PRIVATE PILOT,230,12,6,6
19880101008469I,01-JAN-88,HOLLYWOOD,FL,NORTH PERRY,INCIDENT,MINOR,ROLL-OUT (FIXED WING),BEECH,BE-95,BE-95-B55,NULL,PERSONAL,GENERAL OPERATING RULES,NONE,21BB ,0,0,CONT  ,IO520CB      ,O520  ,2,PRIVATE PILOT,1500,50,20,20
19880102000129I,02-JAN-88,WATERLOO,IA,WATERLOO RGNL,INCIDENT,MINOR,ROLL-OUT (FIXED WING),CESSNA,CE-152,NULL,NULL,INSTRUCTION,GENERAL OPERATING RULES,VISUAL FLIGHT RULES,5383M,0,0,NULL,NULL,NULL,1,STUDENT,55,55,16,16
19880102002849I,02-JAN-88,KETCHIKAN,AK,NULL,INCIDENT,NULL,CLIMB,CESSNA,CE-180,CE-180-H,NULL,PERSONAL,GENERAL OPERATING RULES,VISUAL FLIGHT RULES,7904V,0,0,CONT  ,O470R        ,O470  ,1,AIRLINE TRANSPORT,9000,2000,90,90
19880102003579I,02-JAN-88,INDIANAPOLIS,IN,INDIANAPOLIS INTL,INCIDENT,NULL,CLIMB,PIPER,PA-32,PA-32-260,NULL,PERSONAL,GENERAL OPERATING RULES,VISUAL FLIGHT RULES,3703W,0,0,NULL,NULL,NULL,1,PRIVATE PILOT,220,60,60,60
19880102004039I,02-JAN-88,COLLEGEDALE,TN,COLLEGEDALE MUNI,INCIDENT,MINOR,TOUCH AND GO LANDING,CESSNA,CE-152,NULL,NULL,INSTRUCTION,GENERAL OPERATING RULES,UNKNOWN,5527M,0,0,NULL,NULL,NULL,1,STUDENT,NULL,13,10,10
19880102004129I,02-JAN-88,KANSAS CITY,MO,KANSAS CITY INTL,INCIDENT,NULL,FINAL APPROACH- INSTRUMENT FLIGHT RULES,BOEING,757,200,EASTERN AIR LINES INC,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,507EA,0,0,NULL,NULL,NULL,2,AIRLINE TRANSPORT,NULL,NULL,NULL,NULL
19880102004199I,02-JAN-88,WILLIAMSON,NY,WILLIAMSON-SODUS,INCIDENT,NULL,DESCENT,LAKE,LA-4,LA-4-200,NULL,PERSONAL,GENERAL OPERATING RULES,NONE,6191V,0,0,NULL,NULL,NULL,1,PRIVATE PILOT,500,75,20,20
