aids_report_number,local_event_date,event_city,event_state,event_airport,event_type,aircraft_damage,flight_phase,aircraft_make,aircraft_model,aircraft_series,operator,primary_flight_type,flight_conduct_code,flight_plan_filed_code,aircraft_registration_nbr,total_fatalities,total_injuries,aircraft_engine_make,aircraft_engine_model,engine_group_code,nbr_of_engines,pic_certificate_type,pic_flight_time_total_hrs,pic_flight_time_total_make-model,NULL,NULL
19870101001349I,01-JAN-87,HONOLULU,HI,HONOLULU INTL,INCIDENT,NULL,TAKEOFF GROUND ROLL,MCDONNELL-DOUGLAS-BOEING,MD-80,81,HAWAIIAN AIRLINES INC,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,829HA,0,2,NULL,NULL,NULL,2,AIRLINE TRANSPORT,5600,1036,135,135
19870101001389I,01-JAN-87,NEW YORK,NY,LA GUARDIA,INCIDENT,MINOR,OTHER GROUND OPERATIONS,LOCKHEED,L-1011 TRISTAR,NULL,DELTA AIR LINES INC,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,1731D,0,0,NULL,NULL,NULL,3,AIRLINE TRANSPORT,NULL,NULL,NULL,NULL
19870101002099I,01-JAN-87,NULL,AK,NULL,INCIDENT,MINOR,ROLL-OUT (FIXED WING),MAULE,M-5,M-5-235C,NULL,PERSONAL,GENERAL OPERATING RULES,NONE,385X ,0,0,NULL,NULL,NULL,1,PRIVATE PILOT,145,20,12,12
19870101003229I,01-JAN-87,TRINIDAD,CO,CITY OF LAS ANIMAS - BENT COUNTY,INCIDENT,NULL,NORMAL CRUISE,CESSNA,CE-182,CE-182-P,NULL,PERSONAL,GENERAL OPERATING RULES,VISUAL FLIGHT RULES,21344,0,0,CONT  ,O470R        ,O470  ,1,PRIVATE PILOT,898,107,107,107
19870101003749I,01-JAN-87,GROTON,CT,NULL,INCIDENT,NULL,NORMAL CRUISE,SHORTS-BOMBARDIER,360,NULL,BUSINESS EXPRESS INC,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,691A ,0,0,PWA   ,PT6A65R      ,PT6   ,2,AIRLINE TRANSPORT,3300,250,150,150
19870101004289I,01-JAN-87,TULIA,TX,CITY OF TULIA/SWISHER COUNTY MUNI,INCIDENT,MINOR,"GROUND TAXI, OTHER AIRPLANE",STNSON,SR-108,SR-108-1,NULL,BUSINESS,GENERAL OPERATING RULES,NONE,97030,0,0,NULL,NULL,NULL,1,PRIVATE PILOT,200,200,NULL,NULL
19870101004929I,01-JAN-87,OMAHA,NE,NULL,INCIDENT,NULL,NORMAL CRUISE,BOEING,757,200,NORTHWEST AIRLINES INC,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,504US,0,0,NULL,NULL,NULL,2,AIRLINE TRANSPORT,NULL,NULL,NULL,NULL
19870101005679I,01-JAN-87,HOUSTON,TX,WILLIAM P HOBBY,INCIDENT,MINOR,LEVEL OFF TOUCHDOWN,MOONEY,M-20,M-20-C,NULL,PERSONAL,GENERAL OPERATING RULES,NONE,2959L,0,0,NULL,NULL,NULL,1,PRIVATE PILOT,1200,30,5,5
19870101005699I,01-JAN-87,SAN ANTONIO,TX,LACKLAND AFB (KELLY FLD ANNEX),INCIDENT,MINOR,TO INITIAL CLIMB (1ST POWER REDUCTION),LOCKHEED,L-188 ELECTRA,A,ZANTOP INTERNATIONAL AIRLINES INC,ALL CARGO CARRIERS,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,287F ,0,0,ALLSN ,501D22       ,501D  ,NULL,AIRLINE TRANSPORT,NULL,NULL,NULL,NULL
19870101006119I,01-JAN-87,AKRON,OH,AKRON-CANTON RGNL,INCIDENT,NULL,"GROUND TAXI, OTHER AIRPLANE",BOEING,737,300,UNITED AIR LINES INC,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,369AU,0,0,NULL,NULL,NULL,2,AIRLINE TRANSPORT,NULL,NULL,NULL,NULL
19870101006189I,01-JAN-87,GRAND RAPIDS,MI,GERALD R. FORD INTL,INCIDENT,MINOR,CLIMB,BAC-BAE SYSTEMS,ONE-ELEVEN,400,NULL,EXECUTIVE,GENERAL OPERATING RULES,INSTRUMENT FLIGHT RULES,524AC,0,0,RROYCE,SPEY51114    ,SPEY  ,2,AIRLINE TRANSPORT,5000,2101,69,69
19870101006819I,01-JAN-87,EDEN PRAIRIE,MN,NULL,INCIDENT,MINOR,UNAUTHORIZED LOW LEVEL OPERATIONS,CESSNA,CE-150,CE-150-A,NULL,PERSONAL,GENERAL OPERATING RULES,NONE,9911G,0,0,NULL,NULL,NULL,1,PRIVATE PILOT,125,124,12,12
19870102001409I,02-JAN-87,FLAGSTAFF,AZ,FLAGSTAFF PULLIAM,INCIDENT,MINOR,LEVEL OFF TOUCHDOWN,CESSNA,CE-172,CE-172-N,NULL,INSTRUCTION,GENERAL OPERATING RULES,VISUAL FLIGHT RULES,5216J,0,0,NULL,NULL,NULL,1,STUDENT,35,6,6,6
19870102001419I,02-JAN-87,LOS ANGELES,CA,LOS ANGELES INTL,INCIDENT,MINOR,"GROUND TAXI, OTHER AIRPLANE",BEECH,BE-18,BE-18-H18,UNION FLIGHTS,AIR TAXI (NON-SCHEDULED),AIR TAXI/COMMUTER,INSTRUMENT FLIGHT RULES,7969K,0,0,NULL,NULL,NULL,2,AIRLINE TRANSPORT,4195,300,100,100
