aids_report_number,local_event_date,event_city,event_state,event_airport,event_type,aircraft_damage,flight_phase,aircraft_make,aircraft_model,aircraft_series,operator,primary_flight_type,flight_conduct_code,flight_plan_filed_code,aircraft_registration_nbr,total_fatalities,total_injuries,aircraft_engine_make,aircraft_engine_model,engine_group_code,nbr_of_engines,pic_certificate_type,pic_flight_time_total_hrs,pic_flight_time_total_make-model,NULL,NULL
19830101001969I,01-JAN-83,ADDISON,TX,ADDISON,INCIDENT,MINOR,ROLL-OUT (FIXED WING),MITSUBISHI,MU-2B,MU-2B-10,NULL,EXECUTIVE,GENERAL OPERATING RULES,INSTRUMENT FLIGHT RULES,850Q ,0,0,ARSRCH,TPE33125AA   ,TPE331,2,AIRLINE TRANSPORT,3800,250,60,60
19830101002359I,01-JAN-83,FARMINGDALE,NY,REPUBLIC,INCIDENT,MINOR,ROLL-OUT (FIXED WING),PIPER,PA-28R,PA-28R-180,NULL,PERSONAL,GENERAL OPERATING RULES,NONE,4635J,0,0,NULL,NULL,NULL,1,COMMERCIAL PILOT,450,107,15,15
19830101002429I,01-JAN-83,CONNELL,WA,TRI-CITIES,INCIDENT,NULL,NORMAL CRUISE,CESSNA,CE-414,NULL,FELTS FIELD AVIATION INC,AIR TAXI (NON-SCHEDULED),AIR TAXI/COMMUTER,INSTRUMENT FLIGHT RULES,456ST,0,0,CONT  ,IO520*       ,O520  ,2,COMMERCIAL PILOT,5583,500,30,30
19830101007341I,01-JAN-83,WILDWOOD,NJ,CAPE MAY COUNTY,INCIDENT,MINOR,TAKEOFF GROUND ROLL,DE HAVILLAND-BOMBARDIER,DHC-6 TWIN OTTER,NULL,NULL,AIR TAXI COMMUTER (SCHEDULED 5 OR MORE ROUNDTRIPS PER WEEK),AIR TAXI/COMMUTER,VISUAL FLIGHT RULES,103AC,0,0,NULL,NULL,NULL,NULL,AIRLINE TRANSPORT,4680,3270,189,189
19830101007342I,01-JAN-83,WILDWOOD,NJ,CAPE MAY COUNTY,INCIDENT,MINOR,ROLL-OUT (FIXED WING),CESSNA,CE-210,CE-210-M,NULL,PERSONAL,GENERAL OPERATING RULES,NONE,1943M,0,0,NULL,NULL,NULL,1,PRIVATE PILOT,NULL,0,0,0
19830101007409I,01-JAN-83,DANVILLE,IL,VERMILION REGIONAL,INCIDENT,NONE,OTHER GROUND OPERATIONS,NULL,NULL,NULL,NULL,OTHER,PARACHUTE JUMPING,NONE,NR273,1,0,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0
19830102001569I,02-JAN-83,ATLANTA,GA,HARTSFIELD - JACKSON ATLANTA INTL,INCIDENT,MINOR,"GROUND TAXI, OTHER AIRPLANE",BEECH,BE-58,BE-58-P,NULL,EXECUTIVE,GENERAL OPERATING RULES,INSTRUMENT FLIGHT RULES,6024K,0,0,CONT  ,TSIO520*     ,O520  ,2,AIRLINE TRANSPORT,5100,2639,160,160
19830102003969I,02-JAN-83,SAN ANTONIO,TX,SAN ANTONIO INTL,INCIDENT,NULL,NORMAL CRUISE,PIPER,PA-32,PA-32-301T,NULL,PERSONAL,GENERAL OPERATING RULES,INSTRUMENT FLIGHT RULES,82273,0,0,LYC   ,TIO540S1AD   ,O540  ,1,COMMERCIAL PILOT,2250,300,30,30
19830102007259I,02-JAN-83,CALDWELL,ID,BOISE AIR TERMINAL/GOWEN FLD,INCIDENT,NULL,FINAL APPROACH- INSTRUMENT FLIGHT RULES,PIPER,PA-28R,PA-28R-200,NULL,PERSONAL,GENERAL OPERATING RULES,INSTRUMENT FLIGHT RULES,3761F,0,0,NULL,NULL,NULL,1,COMMERCIAL PILOT,20000,300,35,35
19830103001329I,03-JAN-83,SACRAMENTO,CA,SACRAMENTO EXECUTIVE,INCIDENT,MINOR,ROLL-OUT (FIXED WING),SWEARINGEN-FAIRCHILD,SA-226,SA-226-T,NULL,BUSINESS,GENERAL OPERATING RULES,NONE,1208S,0,0,NULL,NULL,NULL,2,UNKNOWN/FOREIGN,7000,200,130,130
