aids_report_number,local_event_date,event_city,event_state,event_airport,event_type,aircraft_damage,flight_phase,aircraft_make,aircraft_model,aircraft_series,operator,primary_flight_type,flight_conduct_code,flight_plan_filed_code,aircraft_registration_nbr,total_fatalities,total_injuries,aircraft_engine_make,aircraft_engine_model,engine_group_code,nbr_of_engines,pic_certificate_type,pic_flight_time_total_hrs,pic_flight_time_total_make-model,NULL,NULL
20070101831479I,01-JAN-07,NULL,NULL,NULL,INCIDENT,NONE,NULL,NULL,NULL,NULL,NULL,NULL,GENERAL OPERATING RULES,UNKNOWN,22222,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
20070102000049I,02-JAN-07,HOUSTON,TX,WILLIAM P HOBBY,INCIDENT,MINOR,TO INITIAL CLIMB (1ST POWER REDUCTION),LEARJET-BOMBARDIER,LEARJET 35,A,AMERICAN JET INTERNATIONAL CORPORATION,AIR TAXI (NON-SCHEDULED),AIR TAXI/COMMUTER,UNKNOWN,135FA,0,0,GARRTT,TFE731*      ,TFE731,2,AIRLINE TRANSPORT PILOT FLIGHT INSTRUCTOR,6000,700,NULL,NULL
20070102000319I,02-JAN-07,TUCSON,AZ,RYAN FIELD,INCIDENT,MINOR,TOUCH AND GO LANDING,BEECH,BE-95,BE-95-A55,INTERNATIONAL AIRLINE TRAINING,INSTRUCTION,GENERAL OPERATING RULES,UNKNOWN,555HU,0,0,NULL,NULL,NULL,2,COMMERCIAL PILOT FLIGHT INSTRUCTOR,1300,220,NULL,NULL
20070103000019I,03-JAN-07,ATLANTIC CITY,NJ,ATLANTIC CITY INTL,INCIDENT,NULL,ROLL-OUT (FIXED WING),JETSTREAM-BAE SYSTEMS,JETSTREAM 31-S31,NULL,CORPORATE FLIGHT MANAGEMENT INC,AIR TAXI (NON-SCHEDULED),AIR TAXI/COMMUTER,UNKNOWN,487UE,0,0,NULL,NULL,NULL,2,AIRLINE TRANSPORT PILOT FLIGHT INSTRUCTOR,3606,1100,NULL,NULL
20070103000309I,03-JAN-07,PELL CITY,AL,ST CLAIR COUNTY,INCIDENT,MINOR,LEVEL OFF TOUCHDOWN,PIPER,PA-28,PA-28-181,NULL,PERSONAL,GENERAL OPERATING RULES,UNKNOWN,291HP,0,0,LYC   ,O360*        ,O360  ,1,PRIVATE PILOT,260,78,NULL,NULL
20070103000539I,03-JAN-07,ATLANTA,GA,DEKALB-PEACHTREE,INCIDENT,MINOR,LEVEL OFF TOUCHDOWN,BEECH,BE-55,BE-55-E55,NULL,PERSONAL,GENERAL OPERATING RULES,UNKNOWN,1528W,0,0,CONT  ,IO520*       ,O520  ,2,AIRLINE TRANSPORT PILOT FLIGHT INSTRUCTOR,13700,200,NULL,NULL
20070103000639I,03-JAN-07,DANBURY,CT,DANBURY MUNI,INCIDENT,MINOR,LEVEL OFF TOUCHDOWN,PIPER,PA-28R,PA-28R-200,NULL,PERSONAL,GENERAL OPERATING RULES,UNKNOWN,4432F,0,0,LYC   ,IO360C1C     ,O360  ,1,AIRLINE TRANSPORT PILOT FLIGHT INSTRUCTOR,13000,50,NULL,NULL
20070103000709I,03-JAN-07,DANIELSON,CT,DANIELSON,INCIDENT,MINOR,ROLL-OUT (FIXED WING),PIPER,PA-24,PA-24-250,NULL,INSTRUCTION,GENERAL OPERATING RULES,UNKNOWN,6632P,0,0,LYC   ,O540*        ,O540  ,1,PRIVATE PILOT,738,285,NULL,NULL
20070104000349I,04-JAN-07,HARRISONVILLE,PA,NULL,INCIDENT,MINOR,NORMAL CRUISE,CESSNA,CE-150,CE-150-K,NULL,PERSONAL,GENERAL OPERATING RULES,UNKNOWN,6447G,0,0,AMTR  ,O200         ,CUSHMN,1,NULL,NULL,NULL,NULL,NULL
20070104000799I,04-JAN-07,LOUISVILLE,KY,LOUISVILLE INTL-STANDIFORD FIELD,INCIDENT,MINOR,DESCENT,CESSNA,CITATION 550 II,NULL,NULL,EXECUTIVE,GENERAL OPERATING RULES,UNKNOWN,811RG,0,0,PWA   ,JT15D4       ,JT15  ,2,AIRLINE TRANSPORT PILOT FLIGHT INSTRUCTOR,3500,590,NULL,NULL
