aids_report_number,local_event_date,event_city,event_state,event_airport,event_type,aircraft_damage,flight_phase,aircraft_make,aircraft_model,aircraft_series,operator,primary_flight_type,flight_conduct_code,flight_plan_filed_code,aircraft_registration_nbr,total_fatalities,total_injuries,aircraft_engine_make,aircraft_engine_model,engine_group_code,nbr_of_engines,pic_certificate_type,pic_flight_time_total_hrs,pic_flight_time_total_make-model,NULL,NULL
19890101005269I,01-JAN-89,EMMONAK,AK,EMMONAK,INCIDENT,MINOR,TAKEOFF GROUND ROLL,PIPER,PA-32,PA-32-300,DELTA DUSTERS SVC,AIR TAXI (NON-SCHEDULED),AIR TAXI/COMMUTER,NONE,15268,0,0,LYC   ,IO540K1G5    ,O540  ,1,COMMERCIAL PILOT,12000,2000,125,125
19890101005689I,01-JAN-89,LAWRENCEVILLE,GA,GWINNETT COUNTY - BRISCOE FIELD,INCIDENT,MINOR,LEVEL OFF TOUCHDOWN,NAVION,NAV-A,NULL,NULL,PERSONAL,GENERAL OPERATING RULES,NONE,595N ,0,0,NULL,NULL,NULL,1,PILOT NOT CERTIFICATED,1200,1200,25,25
19890101005879I,01-JAN-89,NEWARK,NJ,NEWARK LIBERTY INTL,INCIDENT,NULL,NORMAL CRUISE,BOEING,727,200,CONTINENTAL AIRLINES INC,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,583PE,0,0,NULL,NULL,NULL,3,AIRLINE TRANSPORT,NULL,NULL,NULL,NULL
19890101006139I,01-JAN-89,GREAT FALLS,MT,GREAT FALLS INTL,INCIDENT,NULL,FINAL APPROACH,SWEARINGEN-FAIRCHILD,SA-226,SA-226-TC,BIG SKY TRANSPORTATION CO,AIR TAXI COMMUTER (SCHEDULED 5 OR MORE ROUNDTRIPS PER WEEK),AIR TAXI/COMMUTER,INSTRUMENT FLIGHT RULES,5474M,0,0,NULL,NULL,NULL,2,AIRLINE TRANSPORT,NULL,NULL,NULL,NULL
19890101006289I,01-JAN-89,GRAND CANYON,AZ,GRAND CANYON NATIONAL PARK,INCIDENT,NULL,DESCENT,PIPER,PA-34,PA-34-200T,SENEGAL INC,AIR TAXI (NON-SCHEDULED),AIR TAXI/COMMUTER,NONE,2909G,0,0,CONT  ,TSIO360E     ,O360  ,2,COMMERCIAL PILOT,1500,500,122,122
19890101007269I,01-JAN-89,POINT LOOKOUT,MO,M. GRAHAM CLARK DOWNTOWN,INCIDENT,MINOR,FCD/PREC LDG FROM CRUISE,CESSNA,CE-210,CE-210-M,NULL,PERSONAL,GENERAL OPERATING RULES,INSTRUMENT FLIGHT RULES,732RA,0,0,CONT  ,IO520L       ,O520  ,1,PRIVATE PILOT,306,24,19,19
19890101008419I,01-JAN-89,DALLAS-FORT WORTH,TX,DALLAS/FORT WORTH INTL,INCIDENT,MINOR,LEVEL OFF TOUCHDOWN,MCDONNELL-DOUGLAS-BOEING,MD-80,82,AMERICAN AIRLINES INC,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,285AA,0,0,PWA   ,JT8D217A     ,JT8   ,2,AIRLINE TRANSPORT,NULL,NULL,NULL,NULL
19890101008819I,01-JAN-89,EMLENTON,PA,NEW CASTLE MUNI,INCIDENT,MINOR,UNAUTHORIZED LOW LEVEL OPERATIONS,PIPER,PA-28,PA-28-161,NULL,PERSONAL,GENERAL OPERATING RULES,NONE,3072D,0,0,LYC   ,O320D3G      ,O320  ,1,UNKNOWN/FOREIGN,NULL,NULL,NULL,NULL
19890101011929I,01-JAN-89,GROTON,CT,GROTON-NEW LONDON,INCIDENT,MINOR,ROLL-OUT (FIXED WING),CESSNA,CE-172,CE-172-RG,NULL,PERSONAL,GENERAL OPERATING RULES,NONE,6539V,0,0,NULL,NULL,NULL,1,PRIVATE PILOT,180,40,25,25
19890101062409I,01-JAN-89,WHEATON,MN,WHEATON MUNI,INCIDENT,MINOR,FCD/PREC LDG FROM CRUISE,PIPER,PA-22,PA-22-108,NULL,BUSINESS,GENERAL OPERATING RULES,NONE,37EP ,0,0,LYC   ,O235C1B      ,O235  ,1,COMMERCIAL PILOT,10712,30,5,5
19890102000089I,02-JAN-89,SHAMOKIN,PA,NORTHUMBERLAND COUNTY,INCIDENT,MINOR,TOUCH AND GO LANDING,PIPER,PA-28,PA-28-140,NULL,INSTRUCTION,GENERAL OPERATING RULES,NONE,16581,0,1,LYC   ,O320E3D      ,O320  ,1,STUDENT,35,4,4,4
19890102004269I,02-JAN-89,PITTSBURGH,PA,PITTSBURGH INTL,INCIDENT,NULL,FORCED/PRECAUTIONARY LANDING,SWEARINGEN-FAIRCHILD,SA-227,SA-227-AC,CHAUTAUQUA AIRLINES INC,AIR TAXI COMMUTER (SCHEDULED 5 OR MORE ROUNDTRIPS PER WEEK),AIR TAXI/COMMUTER,INSTRUMENT FLIGHT RULES,2718C,0,0,NULL,NULL,NULL,2,AIRLINE TRANSPORT,NULL,NULL,NULL,NULL
19890102004279I,02-JAN-89,FREDERICK,MD,NULL,INCIDENT,MINOR,FCD/PREC LDG FROM CRUISE,RUTAN,VARIEZE,NULL,NULL,PERSONAL,GENERAL OPERATING RULES,NONE,9329A,0,0,CONT  ,O200*        ,O200  ,1,PRIVATE PILOT,330,230,30,30
19890102006079I,02-JAN-89,BELLAIRE,MI,ANTRIM COUNTY,INCIDENT,MINOR,ROLL-OUT (FIXED WING),PIPER,PA-46,PA-46-310P,NULL,PERSONAL,GENERAL OPERATING RULES,INSTRUMENT FLIGHT RULES,4386C,0,0,CONT  ,TSIO520BE    ,O520  ,1,COMMERCIAL PILOT,2200,69,69,69
19890102006259I,02-JAN-89,MINNEAPOLIS,MN,CRYSTAL,INCIDENT,NULL,FORCED/PRECAUTIONARY LANDING,CESSNA,CE-150,CE-150-H,NULL,PERSONAL,GENERAL OPERATING RULES,NONE,7245S,0,0,CONT  ,O200A        ,O200  ,1,PRIVATE PILOT,300,300,50,50
19890102006269I,02-JAN-89,HAINES,AK,HAINES,INCIDENT,MINOR,ROLL-OUT (FIXED WING),CESSNA,CE-180,NULL,NULL,PERSONAL,GENERAL OPERATING RULES,VISUAL FLIGHT RULES,9399C,0,0,CONT  ,O470A        ,O470  ,1,PRIVATE PILOT,700,400,10,10
19890102006589I,02-JAN-89,FAIRBANKS,AK,METRO FLD,INCIDENT,MINOR,ROLL-OUT (FIXED WING),PIPER,PA-32,PA-32-300,NULL,PERSONAL,GENERAL OPERATING RULES,VISUAL FLIGHT RULES,8942N,0,0,LYC   ,IO540K1G5    ,O540  ,1,PRIVATE PILOT,475,200,2,2
19890102007539I,02-JAN-89,WEST PALM BEACH,FL,PALM BEACH COUNTY PARK,INCIDENT,MINOR,ROLL-OUT (FIXED WING),PIPER,PA-28R,PA-28R-200,NULL,PERSONAL,GENERAL OPERATING RULES,NONE,2337T,0,0,LYC   ,IO360C1C     ,O360  ,1,COMMERCIAL PILOT FLIGHT INSTRUCTOR,30000,330,25,25
19890102007679I,02-JAN-89,CHICAGO,IL,CHICAGO O'HARE INTL,INCIDENT,MINOR,LEVEL OFF TOUCHDOWN,MCDONNELL-DOUGLAS-BOEING,MD-80,82,AMERICAN AIRLINES INC,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,426AA,0,0,PWA   ,JT8D217      ,JT8   ,2,AIRLINE TRANSPORT,NULL,NULL,NULL,NULL
19890102007759I,02-JAN-89,MILES CITY,MT,FRANK WILEY FIELD,INCIDENT,MINOR,ROLL-OUT (FIXED WING),PIPER,PA-32,PA-32-RT300,NULL,PERSONAL,GENERAL OPERATING RULES,INSTRUMENT FLIGHT RULES,30164,0,0,LYC   ,IO540K1G5    ,O540  ,1,PRIVATE PILOT,1320,1200,35,35
19890102008159I,02-JAN-89,COLUMBUS,OH,PORT COLUMBUS INTL,INCIDENT,NULL,FINAL APPROACH- INSTRUMENT FLIGHT RULES,CESSNA,CITATION III (C650),NULL,NETJETS AVIATION INC,AIR TAXI (NON-SCHEDULED),GENERAL OPERATING RULES,INSTRUMENT FLIGHT RULES,142AB,0,0,GARRTT,TFE731*      ,TFE731,2,AIRLINE TRANSPORT,6500,500,60,60
19890102008789I,02-JAN-89,MINOT,ND,MINOT INTL,INCIDENT,MINOR,FORCED/PRECAUTIONARY LANDING,GULSTM,GA-AA,GA-AA-5A,NULL,PERSONAL,GENERAL OPERATING RULES,NONE,26207,0,0,NULL,NULL,NULL,1,PRIVATE PILOT,300,40,15,15
19890102023579I,02-JAN-89,KELSO,WA,NULL,INCIDENT,NULL,DESCENT,PIPER,PA-28RT,PA-28RT-201T,NULL,PERSONAL,GENERAL OPERATING RULES,INSTRUMENT FLIGHT RULES,82294,0,0,CONT  ,TSIO360FB    ,O360  ,1,COMMERCIAL PILOT,1390,500,60,60
19890102037949I,02-JAN-89,TAMPA,FL,NULL,INCIDENT,NULL,FCD/PREC LDG FROM CRUISE,CESSNA,CE-152,NULL,NULL,INSTRUCTION,GENERAL OPERATING RULES,VISUAL FLIGHT RULES,4745B,0,0,LYC   ,O235L2C      ,O235  ,1,STUDENT,NULL,NULL,NULL,NULL
19890102062599I,02-JAN-89,BUFFALO,NY,BUFFALO NIAGARA INTL,INCIDENT,NULL,FCD/PREC LDG FROM CRUISE,MCDONNELL-DOUGLAS-BOEING,DC-9,31CF,US AIRWAYS INC,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,973VJ,0,0,NULL,NULL,NULL,2,AIRLINE TRANSPORT,7500,3000,180,180
