aids_report_number,local_event_date,event_city,event_state,event_airport,event_type,aircraft_damage,flight_phase,aircraft_make,aircraft_model,aircraft_series,operator,primary_flight_type,flight_conduct_code,flight_plan_filed_code,aircraft_registration_nbr,total_fatalities,total_injuries,aircraft_engine_make,aircraft_engine_model,engine_group_code,nbr_of_engines,pic_certificate_type,pic_flight_time_total_hrs,pic_flight_time_total_make-model,NULL,NULL
19970111002989I,11-JAN-97,BARTOW,FL,BARTOW MUNI,INCIDENT,MINOR,STARTING ENGINES,CESSNA,CE-172,CE-172-M,NULL,PERSONAL,GENERAL OPERATING RULES,NONE,828RM,0,0,LYC   ,O320E2D      ,O320  ,1,COMMERCIAL PILOT,1600,200,3,3
19970111005059I,11-JAN-97,AMARILLO,TX,RICK HUSBAND AMARILLO INTL,INCIDENT,NULL,LEVEL OFF TOUCHDOWN,CESSNA,CE-421,CE-421-B,NULL,PERSONAL,GENERAL OPERATING RULES,INSTRUMENT FLIGHT RULES,5957M,0,0,CONT  ,GTSIO520C    ,O520  ,2,COMMERCIAL PILOT,10981,5000,NULL,NULL
19970111005449I,11-JAN-97,MESA,AZ,FALCON FLD,INCIDENT,MINOR,DESCENT,LAZER,200,NULL,NULL,PERSONAL,GENERAL OPERATING RULES,VISUAL FLIGHT RULES,295L ,0,0,LYC   ,IO360A1A     ,O360  ,1,AIRLINE TRANSPORT PILOT FLIGHT INSTRUCTOR,40,40,40,40
19970111006749I,11-JAN-97,LAS VEGAS,NV,NORTH LAS VEGAS,INCIDENT,MINOR,NORMAL CRUISE,LOCKHEED,T33,NULL,NULL,PERSONAL,GENERAL OPERATING RULES,NONE,12417,0,0,NULL,NULL,NULL,1,COMMERCIAL PILOT,2400,52,52,52
19970111009639I,11-JAN-97,TUCSON,AZ,RYAN FIELD,INCIDENT,MINOR,"GROUND TAXI, OTHER AIRPLANE",WILEY,EARLY BIRD JENNY,NULL,NULL,PERSONAL,GENERAL OPERATING RULES,NONE,8100X,0,0,NULL,NULL,NULL,1,PRIVATE PILOT,500,111,40,40
19970112002219I,12-JAN-97,ATLANTA,GA,DEKALB-PEACHTREE,INCIDENT,MINOR,FCD/PREC LDG FROM CRUISE,BEECH,BE-76,NULL,NULL,PERSONAL,GENERAL OPERATING RULES,NONE,444FE,0,0,NULL,NULL,NULL,2,PRIVATE PILOT,5598,1414,62,62
19970112004419I,12-JAN-97,ELBERTA,AL,SHIELDS,INCIDENT,NULL,PARACHUTE JUMPING,DE HAVILLAND-BOMBARDIER,DHC-6 TWIN OTTER,NULL,NULL,OTHER,PARACHUTE JUMPING,NONE,1022S,1,1,NULL,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL
19970112004509I,12-JAN-97,WEST PALM BEACH,FL,PALM BEACH INTL,INCIDENT,NULL,NORMAL CRUISE,BOEING,757,200,DELTA AIR LINES INC,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,615DL,0,1,NULL,NULL,NULL,2,AIRLINE TRANSPORT,14000,1290,37,37
19970113002289I,13-JAN-97,ORLANDO,FL,EXECUTIVE,INCIDENT,MINOR,ROLL-OUT (FIXED WING),PIPER,PA-28,PA-28-140,NULL,PERSONAL,GENERAL OPERATING RULES,NONE,7460R,0,0,NULL,NULL,NULL,1,PRIVATE PILOT,62,15,10,10
19970113004489I,13-JAN-97,ORLANDO,FL,EXECUTIVE,INCIDENT,MINOR,"GROUND TAXI, OTHER AIRPLANE",CESSNA,CE-310,CE-310-R,NULL,BUSINESS,GENERAL OPERATING RULES,INSTRUMENT FLIGHT RULES,6107X,0,0,CONT  ,IO520M       ,O520  ,2,COMMERCIAL PILOT,8000,2500,35,35
