aids_report_number,local_event_date,event_city,event_state,event_airport,event_type,aircraft_damage,flight_phase,aircraft_make,aircraft_model,aircraft_series,operator,primary_flight_type,flight_conduct_code,flight_plan_filed_code,aircraft_registration_nbr,total_fatalities,total_injuries,aircraft_engine_make,aircraft_engine_model,engine_group_code,nbr_of_engines,pic_certificate_type,pic_flight_time_total_hrs,pic_flight_time_total_make-model,NULL,NULL
20050101000019I,01-JAN-05,LAS VEGAS,NV,MC CARRAN INTL,INCIDENT,MINOR,ROLL-OUT (FIXED WING),GULFSTREAM AEROSPACE,GULFSTREAM IV,NULL,NULL,EXECUTIVE,GENERAL OPERATING RULES,UNKNOWN,44CE ,0,0,NULL,NULL,NULL,2,AIRLINE TRANSPORT,10705,NULL,NULL,NULL
20050101000199I,01-JAN-05,MONONGAHELA,PA,ROSTRAVER,INCIDENT,MINOR,IN TRAFFIC PATTERN-CIRCLING,ICA,NULL,NULL,NULL,PERSONAL,GENERAL OPERATING RULES,UNKNOWN,823DK,0,0,LYC   ,IO540*       ,O540  ,1,PRIVATE PILOT,1600,40,NULL,NULL
20050101000789I,01-JAN-05,PARIS,TN,HENRY COUNTY,INCIDENT,MINOR,LEVEL OFF TOUCHDOWN,PIPER,PA-28R,PA-28R-180,NULL,PERSONAL,GENERAL OPERATING RULES,UNKNOWN,7584J,0,0,LYC   ,IO360B1E     ,O360  ,1,PRIVATE PILOT,246,134,NULL,NULL
20050101002889I,01-JAN-05,CHARLESTON,SC,CHARLESTON AFB/INTL,INCIDENT,MINOR,"GROUND TAXI, OTHER AIRPLANE",CESSNA,CE-421,CE-421-B,NULL,PERSONAL,GENERAL OPERATING RULES,UNKNOWN,5PJ  ,0,0,NULL,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL
20050101008719I,01-JAN-05,MADISON,WI,DANE COUNTY RGNL-TRUAX FIELD,INCIDENT,MINOR,ROLL-OUT (FIXED WING),CANADAIR-BOMBARDIER,CHALLENGER,600,AIR WISCONSIN AIRLINES CORPORATION,SUPPLEMENTAL OR COMMERCIAL OPERATOR,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,453AW,0,0,NULL,NULL,NULL,2,AIRLINE TRANSPORT PILOT FLIGHT INSTRUCTOR,4581,1965,NULL,NULL
20050102000119I,02-JAN-05,WATERLOO,IA,WATERLOO RGNL,INCIDENT,NULL,DESCENT,SOCATA,TBM-700,NULL,NULL,EXECUTIVE,GENERAL OPERATING RULES,INSTRUMENT FLIGHT RULES,6720Y,0,0,NULL,NULL,NULL,1,AIRLINE TRANSPORT PILOT FLIGHT INSTRUCTOR,5000,560,NULL,NULL
20050102000269I,02-JAN-05,PITTSTOWN,NJ,SKY MANOR,INCIDENT,MINOR,LEVEL OFF TOUCHDOWN,BEECH,BE-36,BE-36-A36,NULL,PERSONAL,GENERAL OPERATING RULES,UNKNOWN,3168W,0,0,CONT  ,IO520*       ,O520  ,1,PRIVATE PILOT,481,120,NULL,NULL
20050102000349I,02-JAN-05,GREAT FALLS,MT,GREAT FALLS INTL,INCIDENT,NULL,TO INITIAL CLIMB (1ST POWER REDUCTION),DE HAVILLAND-BOMBARDIER,DASH 8,401,HORIZON AIR INDUSTRIES INC,SUPPLEMENTAL OR COMMERCIAL OPERATOR,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,410QX,0,0,NULL,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL
20050102000399I,02-JAN-05,PLEASANTON,TX,PLEASANTON MUNI,INCIDENT,MINOR,ROLL-OUT (FIXED WING),CESSNA,CE-210,CE-210-T210N,NULL,OTHER,GENERAL OPERATING RULES,UNKNOWN,6598N,0,0,CONT  ,TSIO520R     ,O520  ,1,PRIVATE PILOT,1235,244,NULL,NULL
20050102001179I,02-JAN-05,LOS ANGELES,CA,LOS ANGELES INTL,INCIDENT,SUBSTANTIAL,OTHER GROUND OPERATIONS,AIRBUS,A320,210,NORTHWEST AIRLINES INC,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,327NW,0,0,GE    ,CFM56*       ,CFM56 ,2,NULL,NULL,NULL,NULL,NULL
20050103000129I,03-JAN-05,JACKSON,WY,JACKSON HOLE,INCIDENT,NULL,ROLL-OUT (FIXED WING),AIRBUS,A319,110,NORTHWEST AIRLINES INC,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,302NB,0,0,NULL,NULL,NULL,2,AIRLINE TRANSPORT PILOT FLIGHT INSTRUCTOR,12500,5299,NULL,NULL
20050103000389I,03-JAN-05,SAN DIEGO,CA,MONTGOMERY FIELD,INCIDENT,NULL,TO ABORTED (FIXED WING),PIPER,PA-31,PA-31-350,AMERIFLIGHT LLC,AIR TAXI (NON-SCHEDULED),AIR TAXI/COMMUTER,UNKNOWN,62959,0,0,NULL,NULL,NULL,2,COMMERCIAL PILOT FLIGHT INSTRUCTOR,NULL,NULL,NULL,NULL
20050103000799I,03-JAN-05,DENVER,CO,DENVER INTL,INCIDENT,MINOR,OTHER GROUND OPERATIONS,RAYTHEON,1900,D,GREAT LAKES AVIATION LTD,SUPPLEMENTAL OR COMMERCIAL OPERATOR,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,202UX,0,1,NULL,NULL,NULL,2,AIRLINE TRANSPORT PILOT FLIGHT INSTRUCTOR,3000,258,NULL,NULL
