aids_report_number,local_event_date,event_city,event_state,event_airport,event_type,aircraft_damage,flight_phase,aircraft_make,aircraft_model,aircraft_series,operator,primary_flight_type,flight_conduct_code,flight_plan_filed_code,aircraft_registration_nbr,total_fatalities,total_injuries,aircraft_engine_make,aircraft_engine_model,engine_group_code,nbr_of_engines,pic_certificate_type,pic_flight_time_total_hrs,pic_flight_time_total_make-model,NULL,NULL
19940101001009I,01-JAN-94,WHITE RIVER,SD,NULL,INCIDENT,MINOR,FINAL APPROACH,BLANCA,BL-7,BL-7-AC,NULL,INSTRUCTION,GENERAL OPERATING RULES,NONE,82113,0,0,NULL,NULL,NULL,1,STUDENT,55,55,40,40
19940101002249I,01-JAN-94,MIAMI,FL,MIAMI INTL,INCIDENT,NULL,OTHER GROUND OPERATIONS,BOEING,767,300,UNITED AIR LINES INC,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,648UA,0,2,NULL,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL
19940101003399I,01-JAN-94,PALO ALTO,CA,PALO ALTO ARPT OF SANTA CLARA CO,INCIDENT,MINOR,ROLL-OUT (FIXED WING),BLANCA,BL-17,BL-17-31ATC,NULL,PERSONAL,GENERAL OPERATING RULES,NONE,9740E,0,0,NULL,NULL,NULL,1,COMMERCIAL PILOT FLIGHT INSTRUCTOR,2000,20,7,7
19940101009559I,01-JAN-94,WOODLAND,ME,NULL,INCIDENT,MINOR,TAKEOFF GROUND ROLL,CUBY,CUBY,NULL,NULL,PERSONAL,GENERAL OPERATING RULES,NONE,70SG ,0,0,NULL,NULL,NULL,1,PRIVATE PILOT,2000,200,4,4
19940102000919I,02-JAN-94,DARRINGTON,WA,NULL,INCIDENT,NULL,POWER OFF VERTICAL LANDING/AUTOROTATE,BELL,BHT-UH1B,NULL,RAINIER HELI-LIFT INC,INDUSTRIAL/SPECIAL,ROTORCRAFT EXTERNAL LOAD OPERATIONS,NONE,50330,0,0,NULL,NULL,NULL,1,COMMERCIAL PILOT,6000,150,150,150
19940102000939I,02-JAN-94,MARTHAS VINEYARD,MA,MARTHAS VINEYARD,INCIDENT,MINOR,TOUCH AND GO LANDING,PIPER,PA-23,PA-23-250,NULL,PERSONAL,GENERAL OPERATING RULES,NONE,848HK,0,0,NULL,NULL,NULL,2,COMMERCIAL PILOT,1525,40,16,16
19940102001279I,02-JAN-94,ARCHER,FL,NULL,INCIDENT,MINOR,FCD/PREC LDG FROM CRUISE,ERCO,ERCO-415,ERCO-415-C,NULL,PERSONAL,GENERAL OPERATING RULES,NONE,2150T,0,0,CONT  ,C7512        ,A75   ,1,PRIVATE PILOT,800,20,20,20
19940102002299I,02-JAN-94,WAYCROSS,GA,NULL,INCIDENT,NULL,PARACHUTE JUMPING,CESSNA,CE-210,CE-210-B,NULL,OTHER,GENERAL OPERATING RULES,UNKNOWN,9606X,1,0,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL
19940102003309I,02-JAN-94,COLUMBUS,GA,COLUMBUS METROPOLITAN,INCIDENT,MINOR,LEVEL OFF TOUCHDOWN,PIPER,PA-28,PA-28-180,NULL,INSTRUCTION,GENERAL OPERATING RULES,VISUAL FLIGHT RULES,4620J,0,0,NULL,NULL,NULL,1,COMMERCIAL PILOT FLIGHT INSTRUCTOR,2000,56,14,14
19940102004189I,02-JAN-94,NEWARK,NJ,NEWARK LIBERTY INTL,INCIDENT,NULL,FCD/PREC LDG FROM CRUISE,BOEING,767,200,UNITED AIR LINES INC,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,602UA,0,0,NULL,NULL,NULL,2,AIRLINE TRANSPORT,14150,148,148,148
19940103001029I,03-JAN-94,HOUSTON,TX,DAVID WAYNE HOOKS MEMORIAL,INCIDENT,MINOR,"GROUND TAXI, OTHER AIRPLANE",PIPER,PA-34,PA-34-200,HORIZON AVIATION INC,INSTRUCTION,GENERAL OPERATING RULES,NONE,16364,0,0,NULL,NULL,NULL,2,COMMERCIAL PILOT FLIGHT INSTRUCTOR,2310,450,60,60
19940103001049I,03-JAN-94,OMAHA,NE,EPPLEY AIRFIELD,INCIDENT,NULL,FINAL APPROACH,PIPER,PA-28R,PA-28R-201,NULL,PERSONAL,GENERAL OPERATING RULES,VISUAL FLIGHT RULES,47738,0,0,NULL,NULL,NULL,1,COMMERCIAL PILOT,470,100,6,6
