aids_report_number,local_event_date,event_city,event_state,event_airport,event_type,aircraft_damage,flight_phase,aircraft_make,aircraft_model,aircraft_series,operator,primary_flight_type,flight_conduct_code,flight_plan_filed_code,aircraft_registration_nbr,total_fatalities,total_injuries,aircraft_engine_make,aircraft_engine_model,engine_group_code,nbr_of_engines,pic_certificate_type,pic_flight_time_total_hrs,pic_flight_time_total_make-model,NULL,NULL
19920101001029I,01-JAN-92,HUNTSVILLE,AL,HUNTSVILLE INTL-CARL T JONES FIELD,INCIDENT,NULL,FCD/PREC LDG FROM CRUISE,JETSTREAM-BAE SYSTEMS,JETSTREAM 31-S31,NULL,FLAGSHIP AIRLINES INC,AIR TAXI (NON-SCHEDULED),AIR TAXI/COMMUTER,INSTRUMENT FLIGHT RULES,918AE,0,0,NULL,NULL,NULL,2,AIRLINE TRANSPORT,NULL,NULL,NULL,NULL
19920101001809I,01-JAN-92,BIRMINGHAM,AL,BIRMINGHAM-SHUTTLESWORTH INTL,INCIDENT,NULL,FCD/PREC LDG FROM CRUISE,CESSNA,CE-402,CE-402-C,BANKAIR INC,AIR TAXI (NON-SCHEDULED),AIR TAXI/COMMUTER,INSTRUMENT FLIGHT RULES,67909,0,0,CONT  ,TSIO520VB    ,O520  ,2,AIRLINE TRANSPORT,5678,402,47,47
19920101002729I,01-JAN-92,SPOKANE,WA,SPOKANE INTL,INCIDENT,MINOR,FORCED/PRECAUTIONARY LANDING,BEECH,BE-35,BE-35-A33,NULL,PERSONAL,GENERAL OPERATING RULES,INSTRUMENT FLIGHT RULES,9494Y,0,0,CONT  ,IO470*       ,O470  ,1,COMMERCIAL PILOT FLIGHT INSTRUCTOR,775,70,12,12
19920101004409I,01-JAN-92,SAN ANGELO,TX,SAN ANGELO RGNL/MATHIS FIELD,INCIDENT,MINOR,LEVEL OFF TOUCHDOWN,CESSNA,CE-310,CE-310-TQ,NULL,BUSINESS,GENERAL OPERATING RULES,NONE,28409,0,0,NULL,NULL,NULL,2,COMMERCIAL PILOT,600,120,41,41
19920101012529I,01-JAN-92,COVINGTON,OH,CINCINNATI/NORTHERN KENTUCKY INTL,INCIDENT,NULL,TAKEOFF GROUND ROLL,BOEING,767,300,DELTA AIR LINES INC,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,136DL,0,1,NULL,NULL,NULL,2,AIRLINE TRANSPORT,NULL,NULL,NULL,NULL
19920102000669I,02-JAN-92,JACKSON,MS,JACKSON-EVERS INTL,INCIDENT,NULL,FCD/PREC LDG FROM CRUISE,MOONEY,M-20,M-20-K,NULL,PERSONAL,GENERAL OPERATING RULES,INSTRUMENT FLIGHT RULES,242BB,0,0,NULL,NULL,NULL,1,COMMERCIAL PILOT,NULL,NULL,NULL,NULL
19920102001199I,02-JAN-92,LOUISVILLE,KY,LOUISVILLE INTL-STANDIFORD FIELD,INCIDENT,NULL,FCD/PREC LDG FROM CRUISE,BOEING,767,300,DELTA AIR LINES INC,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,134DL,0,0,NULL,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL
19920102001459I,02-JAN-92,MEMPHIS,TN,MEMPHIS INTL,INCIDENT,NULL,FCD/PREC LDG FROM CRUISE,SAAB,340,A,PINNACLE AIRLINES INC,AIR TAXI COMMUTER (SCHEDULED 5 OR MORE ROUNDTRIPS PER WEEK),AIR TAXI/COMMUTER,INSTRUMENT FLIGHT RULES,SEISY,0,0,NULL,NULL,NULL,2,AIRLINE TRANSPORT,8000,2400,270,270
19920102002059I,02-JAN-92,BAR HARBOR,ME,HANCOCK COUNTY-BAR HARBOR,INCIDENT,NULL,FCD/PREC LDG FROM CRUISE,CESSNA,CE-172,CE-172-N,NULL,INSTRUCTION,GENERAL OPERATING RULES,INSTRUMENT FLIGHT RULES,837HE,0,0,NULL,NULL,NULL,1,COMMERCIAL PILOT,7300,4500,100,100
19920102003769I,02-JAN-92,FORT MYERS,FL,PAGE FIELD,INCIDENT,MINOR,OTHER GROUND OPERATIONS,MOONEY,M-20,M-20-K,NULL,PERSONAL,GENERAL OPERATING RULES,INSTRUMENT FLIGHT RULES,99855,0,0,NULL,NULL,NULL,1,COMMERCIAL PILOT FLIGHT INSTRUCTOR,1410,200,11,11
19920102003919I,02-JAN-92,DULUTH,MN,DULUTH INTL,INCIDENT,MINOR,FINAL APPROACH,BLANCA,BL-7,BL-7-DC,NULL,PERSONAL,GENERAL OPERATING RULES,NONE,2612E,0,0,NULL,NULL,NULL,1,PRIVATE PILOT,NULL,846,6,6
19920102006589I,02-JAN-92,PORTLAND,OR,PORTLAND INTL,INCIDENT,MINOR,"GROUND TAXI, OTHER AIRPLANE",JETSTREAM-BAE SYSTEMS,JETSTREAM 31-S31,T.1-T.2,WESTAIR COMMUTER AIRLINES INC,AIR TAXI COMMUTER (SCHEDULED 5 OR MORE ROUNDTRIPS PER WEEK),AIR TAXI/COMMUTER,INSTRUMENT FLIGHT RULES,408UE,0,0,NULL,NULL,NULL,2,AIRLINE TRANSPORT,18570,4053,233,233
