aids_report_number,local_event_date,event_city,event_state,event_airport,event_type,aircraft_damage,flight_phase,aircraft_make,aircraft_model,aircraft_series,operator,primary_flight_type,flight_conduct_code,flight_plan_filed_code,aircraft_registration_nbr,total_fatalities,total_injuries,aircraft_engine_make,aircraft_engine_model,engine_group_code,nbr_of_engines,pic_certificate_type,pic_flight_time_total_hrs,pic_flight_time_total_make-model,NULL,NULL
20040101000029I,01-JAN-04,HILTON HEAD ISLAND,SC,HILTON HEAD,INCIDENT,MINOR,"GROUND TAXI, OTHER AIRPLANE",CIRRUS,CIRRUS-SR,CIRRUS-SR-22,NULL,PERSONAL,GENERAL OPERATING RULES,UNKNOWN,232CD,0,0,CONT  ,IO550*       ,O550  ,1,PRIVATE PILOT,1346,660,NULL,NULL
20040101000359I,01-JAN-04,MILLER,SD,MILLER MUNI,INCIDENT,SUBSTANTIAL,LEVEL OFF TOUCHDOWN,PIPER,PA-24,PA-24-260,NULL,PERSONAL,GENERAL OPERATING RULES,UNKNOWN,8901P,0,0,NULL,NULL,NULL,1,PRIVATE PILOT,1200,800,NULL,NULL
20040101000659I,01-JAN-04,KANSAS CITY,MO,KANSAS CITY INTL,INCIDENT,NULL,INITIAL APPROACH-INSTRUMENT FLIGHT RULES,RAYTHEON,1900,D,AIR MIDWEST INC,SUPPLEMENTAL OR COMMERCIAL OPERATOR,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,174YV,0,0,NULL,NULL,NULL,2,AIRLINE TRANSPORT,3000,1500,NULL,NULL
20040101001019I,01-JAN-04,GEORGETOWN,SC,NULL,INCIDENT,MINOR,LEVEL OFF TOUCHDOWN,CESSNA,CE-172,CE-172-R,NULL,PERSONAL,GENERAL OPERATING RULES,UNKNOWN,822JA,0,0,NULL,NULL,NULL,1,PRIVATE PILOT,168,100,NULL,NULL
20040102000109I,02-JAN-04,WILLIMANTIC,CT,WINDHAM,INCIDENT,MINOR,TO ABORTED (FIXED WING),RUTAN,VARIEZE,NULL,NULL,PERSONAL,GENERAL OPERATING RULES,UNKNOWN,440EZ,0,0,CONT  ,O200*        ,O200  ,1,PRIVATE PILOT,150,80,NULL,NULL
20040102000169I,02-JAN-04,AKRON,OH,AKRON-CANTON RGNL,INCIDENT,NULL,"GROUND TAXI, OTHER AIRPLANE",SAAB,340,A,SHUTTLE AMERICA CORPORATION,SUPPLEMENTAL OR COMMERCIAL OPERATOR,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,40SZ ,0,0,NULL,NULL,NULL,2,AIRLINE TRANSPORT PILOT FLIGHT INSTRUCTOR,NULL,NULL,NULL,NULL
20040102000399I,02-JAN-04,PENSACOLA,FL,PENSACOLA GULF COAST RGNL,INCIDENT,MINOR,ROLL-OUT (FIXED WING),MCDONNELL-DOUGLAS-BOEING,MD-80,88,DELTA AIR LINES INC,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,953DL,0,0,NULL,NULL,NULL,2,AIRLINE TRANSPORT,9963,1533,NULL,NULL
20040102002189I,02-JAN-04,POTTSTOWN,PA,HERITAGE FIELD,INCIDENT,MINOR,LEVEL OFF TOUCHDOWN,BEECH,BE-23,BE-23-B23,NULL,PERSONAL,GENERAL OPERATING RULES,UNKNOWN,4008T,0,0,NULL,NULL,NULL,1,PRIVATE PILOT,79,79,NULL,NULL
20040102010629I,02-JAN-04,SAINT AUGUSTINE,FL,NORTHEAST FLORIDA RGNL,INCIDENT,MINOR,NORMAL CRUISE,BELL,BHT-206,BHT-206-OH58A,NULL,INDUSTRIAL/SPECIAL,GENERAL OPERATING RULES,UNKNOWN,244RP,0,0,NULL,NULL,NULL,1,COMMERCIAL PILOT,900,700,NULL,NULL
20040102010849I,02-JAN-04,RALEIGH,NC,RALEIGH-DURHAM INTL,INCIDENT,MINOR,TAKEOFF GROUND ROLL,MCDONNELL-DOUGLAS-BOEING,DC-9,51,NORTHWEST AIRLINES INC,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,769NC,0,0,PWA   ,JT8D17       ,JT8   ,2,NULL,NULL,NULL,NULL,NULL
