aids_report_number,local_event_date,event_city,event_state,event_airport,event_type,aircraft_damage,flight_phase,aircraft_make,aircraft_model,aircraft_series,operator,primary_flight_type,flight_conduct_code,flight_plan_filed_code,aircraft_registration_nbr,total_fatalities,total_injuries,aircraft_engine_make,aircraft_engine_model,engine_group_code,nbr_of_engines,pic_certificate_type,pic_flight_time_total_hrs,pic_flight_time_total_make-model,NULL,NULL
19960111006889I,11-JAN-96,PENSACOLA,FL,PENSACOLA GULF COAST RGNL,INCIDENT,MINOR,LEVEL OFF TOUCHDOWN,CESSNA,CE-210,CE-210-T210N,NULL,BUSINESS,GENERAL OPERATING RULES,INSTRUMENT FLIGHT RULES,6160C,0,0,NULL,NULL,NULL,1,PRIVATE PILOT,3200,1500,50,50
19960112001219I,12-JAN-96,SAN ANTONIO,TX,SAN ANTONIO INTL,INCIDENT,MINOR,"GROUND TAXI, OTHER AIRPLANE",MOONEY,M-20,M-20-C,NULL,OTHER,GENERAL OPERATING RULES,NONE,6604U,0,0,LYC   ,O360A1D      ,O360  ,1,PRIVATE PILOT,2100,1500,50,50
19960112002339I,12-JAN-96,MESA,AZ,NULL,INCIDENT,MINOR,FCD/PREC LDG FROM CRUISE,VARGA,VARGA-2150A,NULL,NULL,PERSONAL,GENERAL OPERATING RULES,UNKNOWN,8348J,0,0,NULL,NULL,NULL,1,PRIVATE PILOT,4000,800,33,33
19960112003029I,12-JAN-96,CAMERON PARK,CA,CAMERON AIRPARK,INCIDENT,MINOR,LEVEL OFF TOUCHDOWN,CESSNA,CE-210,CE-210-T210M,NULL,BUSINESS,GENERAL OPERATING RULES,INSTRUMENT FLIGHT RULES,200WR,0,0,NULL,NULL,NULL,1,UNKNOWN/FOREIGN,1103,822,40,40
19960113001829I,13-JAN-96,LYNCHBURG,VA,LYNCHBURG RGNL/PRESTON GLENN FLD,INCIDENT,MINOR,LEVEL OFF TOUCHDOWN,CESSNA,CE-172,CE-172-RG,NULL,PERSONAL,GENERAL OPERATING RULES,VISUAL FLIGHT RULES,9562B,0,0,LYC   ,O360F1A6     ,O360  ,1,PRIVATE PILOT,171,3,1,1
19960113002379I,13-JAN-96,DE MOTTE,IN,DE MOTTE,INCIDENT,MINOR,ROLL-OUT (FIXED WING),GULSTM,GA-AA,GA-AA-5,NULL,INSTRUCTION,GENERAL OPERATING RULES,NONE,9592L,0,0,LYC   ,O320E2G      ,O320  ,1,COMMERCIAL PILOT FLIGHT INSTRUCTOR,1760,100,NULL,NULL
19960113006519I,13-JAN-96,LINCOLN,NE,NULL,INCIDENT,NULL,NORMAL CRUISE,CESSNA,CE-152,NULL,NULL,PERSONAL,GENERAL OPERATING RULES,NONE,64901,0,0,NULL,NULL,NULL,1,PRIVATE PILOT,1125,8,4,4
19960114000359I,14-JAN-96,FORT WALTON BEACH,FL,NULL,INCIDENT,MINOR,"GROUND TAXI, OTHER AIRPLANE",MCDONNELL-DOUGLAS-BOEING,DC-9,51,NORTHWEST AIRLINES INC,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,770NC,0,0,PWA   ,JT8D9        ,JT8   ,2,AIRLINE TRANSPORT,6451,4438,181,181
19960114000539I,14-JAN-96,WASHINGTON,PA,WASHINGTON COUNTY,INCIDENT,MINOR,LEVEL OFF TOUCHDOWN,PIPER,PA-24,PA-24-250,NULL,PERSONAL,GENERAL OPERATING RULES,NONE,6159P,0,0,NULL,NULL,NULL,1,PRIVATE PILOT,1625,1500,7,7
19960114001289I,14-JAN-96,PITTSBURGH,PA,NULL,INCIDENT,NULL,NORMAL CRUISE,MAULE,M-5,M-5-210C,NULL,INDUSTRIAL/SPECIAL,GENERAL OPERATING RULES,NONE,62024,0,0,NULL,NULL,NULL,1,COMMERCIAL PILOT,1925,450,25,25
19960114002269I,14-JAN-96,DAYTON,OH,GREENE COUNTY-LEWIS A. JACKSON RGNL,INCIDENT,MINOR,ROLL-OUT (FIXED WING),PIPER,PA-28,PA-28-161,NULL,INSTRUCTION,GENERAL OPERATING RULES,NONE,4385W,0,0,LYC   ,O320D3G      ,O320  ,1,STUDENT,49,49,NULL,NULL
19960114003269I,14-JAN-96,ATLANTIC CITY,NJ,ATLANTIC CITY INTL,INCIDENT,NULL,FCD/PREC LDG FROM CRUISE,MOONEY,M-20,M-20-J,NULL,PERSONAL,GENERAL OPERATING RULES,NONE,201TL,0,0,LYC   ,IO360A3B6    ,O360  ,1,PRIVATE PILOT,550,NULL,40,40
19960115000349I,15-JAN-96,LOS ANGELES,CA,LOS ANGELES INTL,INCIDENT,MINOR,"GROUND TAXI, OTHER AIRPLANE",BOEING,727,200,DELTA AIR LINES INC,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,509DA,0,0,NULL,NULL,NULL,3,NULL,NULL,NULL,NULL,NULL
19960115000479I,15-JAN-96,PONTIAC,MI,OAKLAND COUNTY INTL,INCIDENT,MINOR,ROLL-OUT (FIXED WING),LUSCMB,LL-8,LL-8-F,NULL,PERSONAL,GENERAL OPERATING RULES,UNKNOWN,2272B,0,0,NULL,NULL,NULL,1,NULL,678,327,NULL,NULL
19960115001209I,15-JAN-96,NORMAN,OK,UNIVERSITY OF OKLAHOMA WESTHEIMER,INCIDENT,MINOR,ROLL-OUT (FIXED WING),BEECH,BE-55,BE-55-E55,NULL,PERSONAL,GENERAL OPERATING RULES,INSTRUMENT FLIGHT RULES,2053A,0,0,CONT  ,IO520C       ,O520  ,2,PRIVATE PILOT,8000,2500,30,30
19960115001359I,15-JAN-96,SAN ANGELO,TX,SAN ANGELO RGNL/MATHIS FIELD,INCIDENT,MINOR,ROLL-OUT (FIXED WING),NAVION,NAV-A,NULL,NULL,PERSONAL,GENERAL OPERATING RULES,NONE,8828H,0,0,NULL,NULL,NULL,1,PRIVATE PILOT,700,300,25,25
19960115005419I,15-JAN-96,MIAMI,FL,KENDALL-TAMIAMI EXECUTIVE,INCIDENT,MINOR,ROLL-OUT (FIXED WING),LAKE,LA-4,LA-4-200,NULL,PERSONAL,GENERAL OPERATING RULES,NONE,99DL ,0,0,LYC   ,O360*        ,O360  ,1,NULL,NULL,NULL,NULL,NULL
19960115007079I,15-JAN-96,NATCHITOCHES,LA,NATCHITOCHES RGNL,INCIDENT,MINOR,ROLL-OUT (FIXED WING),CESSNA,CE-310,NULL,NULL,PERSONAL,GENERAL OPERATING RULES,NONE,UR041,0,0,NULL,NULL,NULL,2,PRIVATE PILOT,6000,5000,25,25
