aids_report_number,local_event_date,event_city,event_state,event_airport,event_type,aircraft_damage,flight_phase,aircraft_make,aircraft_model,aircraft_series,operator,primary_flight_type,flight_conduct_code,flight_plan_filed_code,aircraft_registration_nbr,total_fatalities,total_injuries,aircraft_engine_make,aircraft_engine_model,engine_group_code,nbr_of_engines,pic_certificate_type,pic_flight_time_total_hrs,pic_flight_time_total_make-model,NULL,NULL
19790101000389I,01-JAN-79,PITTSBURGH,PA,PITTSBURGH INTL,INCIDENT,MINOR,ROLL-OUT (FIXED WING),MCDONNELL-DOUGLAS-BOEING,DC-9,NULL,US AIRWAYS INC,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,970VJ,0,0,NULL,NULL,NULL,2,AIRLINE TRANSPORT,NULL,0,0,0
19790101000399I,01-JAN-79,TUCSON,AZ,TUCSON INTL,INCIDENT,MINOR,DESCENT,BEECH,BE-50,BE-50-B50,NULL,PERSONAL,GENERAL OPERATING RULES,NONE,687T ,0,0,NULL,NULL,NULL,2,PRIVATE PILOT,1200,800,0,0
19790101000409I,01-JAN-79,KANSAS CITY,MO,DOWNTOWN,INCIDENT,MINOR,TO ABORTED (FIXED WING),PIPER,PA-23,PA-23-160,NULL,PERSONAL,GENERAL OPERATING RULES,NONE,4162P,0,0,NULL,NULL,NULL,2,COMMERCIAL PILOT,7000,700,0,0
19790101000419I,01-JAN-79,NEW BERN,NC,NULL,INCIDENT,MINOR,ROLL-OUT (FIXED WING),GULSTM,GA-AA,GA-AA-1B,NULL,PERSONAL,GENERAL OPERATING RULES,NONE,8870L,0,0,NULL,NULL,NULL,1,PRIVATE PILOT,78,78,0,0
19790101000429I,01-JAN-79,KENAI,AK,KENAI MUNI,INCIDENT,NULL,ROLL-OUT (FIXED WING),CESSNA,CE-207,CE-207-A,NULL,PERSONAL,GENERAL OPERATING RULES,VISUAL FLIGHT RULES,7393U,0,0,NULL,NULL,NULL,1,COMMERCIAL PILOT,1250,150,0,0
19790101000439I,01-JAN-79,MIAMI,FL,KENDALL-TAMIAMI EXECUTIVE,INCIDENT,MINOR,ROLL-OUT (FIXED WING),GULSTM,GA-520,NULL,NULL,PERSONAL,GENERAL OPERATING RULES,VISUAL FLIGHT RULES,7834 ,0,0,NULL,NULL,NULL,2,AIRLINE TRANSPORT,7000,35,0,0
19790101000459I,01-JAN-79,DENVER,CO,DENVER INTL,INCIDENT,MINOR,NORMAL CRUISE,CONVAIR-GENERAL DYNAMICS,CV-340,CV-340-580STC,WESTCHESTER AERONAUTICAL CORP,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,5814 ,0,0,NULL,NULL,NULL,2,AIRLINE TRANSPORT,NULL,0,0,0
19790101000479I,01-JAN-79,PITTSBURGH,PA,PITTSBURGH INTL,INCIDENT,MINOR,FINAL APPROACH- INSTRUMENT FLIGHT RULES,MCDONNELL-DOUGLAS-BOEING,DC-9,31CF,US AIRWAYS INC,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,951VJ,0,0,NULL,NULL,NULL,2,AIRLINE TRANSPORT,NULL,0,0,0
19790101000519I,01-JAN-79,WASHINGTON,DC,RONALD REAGAN WASHINGTON NATIONAL,INCIDENT,NULL,TO INITIAL CLIMB (1ST POWER REDUCTION),MCDONNELL-DOUGLAS-BOEING,DC-9,31CF,US AIRWAYS INC,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,960VJ,0,0,NULL,NULL,NULL,2,AIRLINE TRANSPORT,NULL,0,0,0
19790101000549I,01-JAN-79,KANSAS CITY,MO,KANSAS CITY INTL,INCIDENT,NULL,TO INITIAL CLIMB (1ST POWER REDUCTION),BOEING,727,200,TRANS WORLD AIRLINES,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,54330,0,0,NULL,NULL,NULL,3,AIRLINE TRANSPORT,NULL,0,0,0
