aids_report_number,local_event_date,event_city,event_state,event_airport,event_type,aircraft_damage,flight_phase,aircraft_make,aircraft_model,aircraft_series,operator,primary_flight_type,flight_conduct_code,flight_plan_filed_code,aircraft_registration_nbr,total_fatalities,total_injuries,aircraft_engine_make,aircraft_engine_model,engine_group_code,nbr_of_engines,pic_certificate_type,pic_flight_time_total_hrs,pic_flight_time_total_make-model,NULL,NULL
19910101002029I,01-JAN-91,CHAMPAIGN,IL,UNIVERSITY OF ILLINOIS-WILLARD,INCIDENT,NULL,FORCED/PRECAUTIONARY LANDING,FOKKER,F.27,500F,AIR WISCONSIN INC,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,503AW,0,0,RROYCE,DART5527R    ,DART  ,2,AIRLINE TRANSPORT,3664,3664,166,166
19910101002119I,01-JAN-91,KINGSFORD,MI,FORD,INCIDENT,NULL,ROLL-OUT (FIXED WING),RAYTHEON,1900,C-1,GREAT LAKES AVIATION LTD,AIR TAXI COMMUTER (SCHEDULED 5 OR MORE ROUNDTRIPS PER WEEK),AIR TAXI/COMMUTER,INSTRUMENT FLIGHT RULES,319GL,0,0,NULL,NULL,NULL,2,AIRLINE TRANSPORT,3180,1600,263,263
19910101002839I,01-JAN-91,KETCHIKAN,AK,KETCHIKAN INTL,INCIDENT,MINOR,"GROUND TAXI, OTHER AIRPLANE",BOEING,737,200C,ALASKA AIRLINES INC,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,741AS,0,0,NULL,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL
19910101003209I,01-JAN-91,DEATH VALLEY,CA,FURNACE CREEK,INCIDENT,MINOR,ROLL-OUT (FIXED WING),TCRAFT,19,NULL,NULL,PERSONAL,GENERAL OPERATING RULES,NONE,3569T,0,0,NULL,NULL,NULL,1,STUDENT,70,25,10,10
19910101003849I,01-JAN-91,PLAINVILLE,CT,NULL,INCIDENT,MINOR,FCD/PREC LDG FROM CRUISE,BEDE,BD4,NULL,NULL,PERSONAL,GENERAL OPERATING RULES,VISUAL FLIGHT RULES,355LV,0,2,LYC   ,O360A1A      ,O360  ,1,PRIVATE PILOT,565,118,12,12
19910101003999I,01-JAN-91,DALLAS,TX,DALLAS LOVE FIELD,INCIDENT,NULL,FINAL APPROACH,PIPER,PA-31,PA-31-350,NULL,PERSONAL,GENERAL OPERATING RULES,INSTRUMENT FLIGHT RULES,61485,0,0,NULL,NULL,NULL,2,COMMERCIAL PILOT,1500,250,45,45
19910101005099I,01-JAN-91,BELEN,NM,ALEXANDER MUNI,INCIDENT,MINOR,LEVEL OFF TOUCHDOWN,MOONEY,M-20,M-20-B,NULL,PERSONAL,GENERAL OPERATING RULES,NONE,74760,0,0,NULL,NULL,NULL,1,PRIVATE PILOT,705,1,1,1
19910101010659I,01-JAN-91,KIOWA,CO,NULL,INCIDENT,MINOR,FCD/PREC LDG FROM CRUISE,CESSNA,CE-150,CE-150-F,NULL,PERSONAL,GENERAL OPERATING RULES,VISUAL FLIGHT RULES,8788G,0,0,CONT  ,O200A        ,O200  ,1,STUDENT,35,35,20,20
19910101060549I,01-JAN-91,PORTSMOUTH,VA,HAMPTON ROADS EXECUTIVE,INCIDENT,MINOR,ROLL-OUT (FIXED WING),ACMNDR,ACMNDR-100,ACMNDR-100-A,NULL,PERSONAL,GENERAL OPERATING RULES,NONE,4157X,0,0,NULL,NULL,NULL,1,PRIVATE PILOT,115,35,17,17
19910102000099I,02-JAN-91,RENTON,WA,NULL,INCIDENT,MINOR,"GROUND TAXI, OTHER AIRPLANE",CESSNA,CE-180,NULL,NULL,PERSONAL,GENERAL OPERATING RULES,NONE,400H ,0,0,NULL,NULL,NULL,1,PRIVATE PILOT,NULL,NULL,NULL,NULL
