aids_report_number,local_event_date,event_city,event_state,event_airport,event_type,aircraft_damage,flight_phase,aircraft_make,aircraft_model,aircraft_series,operator,primary_flight_type,flight_conduct_code,flight_plan_filed_code,aircraft_registration_nbr,total_fatalities,total_injuries,aircraft_engine_make,aircraft_engine_model,engine_group_code,nbr_of_engines,pic_certificate_type,pic_flight_time_total_hrs,pic_flight_time_total_make-model,NULL,NULL
19850101001999I,01-JAN-85,KANSAS CITY,MO,KANSAS CITY INTL,INCIDENT,NULL,TO INITIAL CLIMB (1ST POWER REDUCTION),SWEARINGEN-FAIRCHILD,SA-226,SA-226-TC,AIR MIDWEST INC,AIR TAXI COMMUTER (SCHEDULED 5 OR MORE ROUNDTRIPS PER WEEK),AIR TAXI/COMMUTER,INSTRUMENT FLIGHT RULES,223AM,0,0,NULL,NULL,NULL,2,AIRLINE TRANSPORT,NULL,6000,180,180
19850102002009I,02-JAN-85,SCHAUMBURG,IL,DUPAGE,INCIDENT,MINOR,TO INITIAL CLIMB (1ST POWER REDUCTION),PIPER,PA-28,PA-28-161,NULL,PERSONAL,GENERAL OPERATING RULES,NONE,4349K,0,0,LYC   ,O320D3G      ,O320  ,1,PRIVATE PILOT,85,60,30,30
19850102002209I,02-JAN-85,RICHMOND,VA,NULL,INCIDENT,MINOR,"GROUND TAXI, OTHER AIRPLANE",BEECH,BE-58,NULL,NULL,AIR TAXI (NON-SCHEDULED),AIR TAXI/COMMUTER,INSTRUMENT FLIGHT RULES,967V ,0,0,NULL,NULL,NULL,2,AIRLINE TRANSPORT,2550,300,100,100
19850102002229I,02-JAN-85,BOSTON,MA,GENERAL EDWARD LAWRENCE LOGAN INTL,INCIDENT,NULL,NORMAL CRUISE,BOEING,727,200,REPUBLIC AIRLINES INC,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,UNKNOWN,721RW,0,0,NULL,NULL,NULL,3,NULL,NULL,0,0,0
19850102002469I,02-JAN-85,ABILENE,TX,ABILENE RGNL,INCIDENT,MINOR,"GROUND TAXI, OTHER AIRPLANE",CORSAIR,NULL,NULL,NULL,PERSONAL,GENERAL OPERATING RULES,VISUAL FLIGHT RULES,404CW,0,0,NULL,NULL,NULL,1,PRIVATE PILOT,580,15,15,15
19850102004459I,02-JAN-85,FRESNO,CA,FRESNO YOSEMITE INTL,INCIDENT,NULL,NORMAL CRUISE,PIPER,PA-23,PA-23-250,GLAZOV AVIATION INC,AIR TAXI COMMUTER (SCHEDULED 5 OR MORE ROUNDTRIPS PER WEEK),AIR TAXI/COMMUTER,VISUAL FLIGHT RULES,22VT ,0,0,LYC   ,TIO540C1A    ,O540  ,2,AIRLINE TRANSPORT,5300,600,100,100
19850102006079I,02-JAN-85,VAN NUYS,CA,VAN NUYS,INCIDENT,MINOR,LEVEL OFF TOUCHDOWN,CESSNA,CE-210,CE-210-T210N,NULL,PERSONAL,GENERAL OPERATING RULES,NONE,6191Y,0,0,CONT  ,TSIO520R     ,O520  ,1,PRIVATE PILOT,878,300,10,10
19850102012069I,02-JAN-85,CHICAGO,IL,CHICAGO O'HARE INTL,INCIDENT,NULL,"GROUND TAXI, OTHER AIRPLANE",FOKKER,F.27,NULL,MISSISSIPPI VALLEY AIRLINES INC,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,271FA,0,0,NULL,NULL,NULL,2,AIRLINE TRANSPORT,9500,534,66,66
19850102012429I,02-JAN-85,PITTSBURGH,PA,ALLEGHENY COUNTY,INCIDENT,MINOR,TOUCH AND GO LANDING,CESSNA,CE-421,CE-421-C,NULL,OTHER,GENERAL OPERATING RULES,VISUAL FLIGHT RULES,3920C,0,0,NULL,NULL,NULL,2,AIRLINE TRANSPORT PILOT FLIGHT INSTRUCTOR,3200,60,30,30
19850103001309I,03-JAN-85,SAINT LOUIS,MO,LAMBERT-ST LOUIS INTL,INCIDENT,NULL,FCD/PREC LDG FROM CRUISE,SWEARINGEN-FAIRCHILD,SA-226,SA-226-TC,BRITT AIRWAYS INC,AIR TAXI COMMUTER (SCHEDULED 5 OR MORE ROUNDTRIPS PER WEEK),AIR TAXI/COMMUTER,INSTRUMENT FLIGHT RULES,322BA,0,0,NULL,NULL,NULL,2,AIRLINE TRANSPORT,NULL,0,0,0
