aids_report_number,local_event_date,event_city,event_state,event_airport,event_type,aircraft_damage,flight_phase,aircraft_make,aircraft_model,aircraft_series,operator,primary_flight_type,flight_conduct_code,flight_plan_filed_code,aircraft_registration_nbr,total_fatalities,total_injuries,aircraft_engine_make,aircraft_engine_model,engine_group_code,nbr_of_engines,pic_certificate_type,pic_flight_time_total_hrs,pic_flight_time_total_make-model,NULL,NULL
19900101002579I,01-JAN-90,GALLUP,NM,NULL,INCIDENT,NULL,FCD/PREC LDG FROM CRUISE,CESSNA,CE-172,CE-172-P,NULL,PERSONAL,GENERAL OPERATING RULES,VISUAL FLIGHT RULES,53571,0,0,LYC   ,O320D2J      ,O320  ,1,COMMERCIAL PILOT,6300,200,25,25
19900101002829I,01-JAN-90,COVINGTON,OH,CINCINNATI/NORTHERN KENTUCKY INTL,INCIDENT,MINOR,TO INITIAL CLIMB (1ST POWER REDUCTION),BOEING,757,200,DELTA AIR LINES INC,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,651DL,0,0,NULL,NULL,NULL,2,AIRLINE TRANSPORT,NULL,NULL,NULL,NULL
19900101002959I,01-JAN-90,DENVER,CO,DENVER INTL,INCIDENT,NULL,FCD/PREC LDG FROM CRUISE,BOEING,737,200,MIDWAY AIRLINES INC,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,705ML,0,0,NULL,NULL,NULL,2,AIRLINE TRANSPORT,NULL,NULL,NULL,NULL
19900101003319I,01-JAN-90,ATLANTA,GA,HARTSFIELD - JACKSON ATLANTA INTL,INCIDENT,MINOR,LEVEL OFF TOUCHDOWN,BEECH,BE-23,BE-23-B24R,NULL,BUSINESS,GENERAL OPERATING RULES,NONE,9227S,0,0,NULL,NULL,NULL,1,PRIVATE PILOT,130,20,20,20
19900101004439I,01-JAN-90,VERO BEACH,FL,VERO BEACH MUNI,INCIDENT,MINOR,ROLL-OUT (FIXED WING),DRAGONFLY,DRAGONFLY,NULL,NULL,PERSONAL,GENERAL OPERATING RULES,VISUAL FLIGHT RULES,41GK ,0,0,NULL,NULL,NULL,1,PRIVATE PILOT,850,125,2,2
19900101004449I,01-JAN-90,BRODHEAD,WI,BRODHEAD,INCIDENT,MINOR,ROLL-OUT (FIXED WING),PIPER,PA-28R,PA-28R-200,NULL,INSTRUCTION,GENERAL OPERATING RULES,NONE,41731,0,0,NULL,NULL,NULL,1,PRIVATE PILOT,590,6,6,6
19900101004519I,01-JAN-90,NULL,AK,NULL,INCIDENT,MINOR,"GROUND TAXI, OTHER AIRPLANE",CESSNA,CE-185,CE-185-F,NULL,PERSONAL,GENERAL OPERATING RULES,NONE,185DM,0,0,NULL,NULL,NULL,1,COMMERCIAL PILOT,9500,4500,30,30
19900101005499I,01-JAN-90,LEAGUE CITY,TX,NULL,INCIDENT,NULL,PARACHUTE JUMPING,DE HAVILLAND-BOMBARDIER,DHC-6 TWIN OTTER,NULL,NULL,OTHER,PARACHUTE JUMPING,NONE,911BX,1,0,NULL,NULL,NULL,NULL,COMMERCIAL PILOT,2011,943,83,83
19900102003209I,02-JAN-90,SANFORD,FL,ORLANDO SANFORD INTL,INCIDENT,MINOR,ROLL-OUT (FIXED WING),PIPER,PA-34,PA-34-200,NULL,PERSONAL,GENERAL OPERATING RULES,NONE,56657,0,0,NULL,NULL,NULL,2,COMMERCIAL PILOT,240,32,10,10
19900102003249I,02-JAN-90,MILWAUKEE,WI,GENERAL MITCHELL INTL,INCIDENT,NULL,CLIMB,BOEING,727,200,TRANS WORLD AIRLINES INC,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,12304,0,0,NULL,NULL,NULL,3,AIRLINE TRANSPORT,17000,2656,180,180
