aids_report_number,local_event_date,event_city,event_state,event_airport,event_type,aircraft_damage,flight_phase,aircraft_make,aircraft_model,aircraft_series,operator,primary_flight_type,flight_conduct_code,flight_plan_filed_code,aircraft_registration_nbr,total_fatalities,total_injuries,aircraft_engine_make,aircraft_engine_model,engine_group_code,nbr_of_engines,pic_certificate_type,pic_flight_time_total_hrs,pic_flight_time_total_make-model,NULL,NULL
20000112000069I,12-JAN-00,CHARLOTTE,NC,CHARLOTTE/DOUGLAS INTL,INCIDENT,MINOR,"GROUND TAXI, OTHER AIRPLANE",BOEING,727,200,RYAN INTERNATIONAL AIRLINES INC,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,356QS,0,0,PWA   ,JT8*         ,JT8   ,3,AIRLINE TRANSPORT,NULL,16500,NULL,NULL
20000112001079I,12-JAN-00,BUFFALO,NY,BUFFALO NIAGARA INTL,INCIDENT,NULL,CLIMB,DE HAVILLAND-BOMBARDIER,DASH 8,100,ALLEGHENY AIRLINES INC,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,809EX,0,0,NULL,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL
20000112002399I,12-JAN-00,NULL,NULL,NULL,INCIDENT,NULL,PARACHUTE JUMPING,NULL,NULL,NULL,NULL,PERSONAL,PARACHUTE JUMPING,NULL,UNKNO,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
20000113000029I,13-JAN-00,KONGIGANAK,AK,KONGIGANAK,INCIDENT,MINOR,STARTING ENGINES,CESSNA,CE-207,NULL,GRANT AVIATION INC,AIR TAXI COMMUTER (SCHEDULED 5 OR MORE ROUNDTRIPS PER WEEK),AIR TAXI/COMMUTER,UNKNOWN,1581U,0,0,NULL,NULL,NULL,1,COMMERCIAL PILOT FLIGHT INSTRUCTOR,1400,300,NULL,NULL
20000113000359I,13-JAN-00,TAYLOR,AZ,TAYLOR,INCIDENT,MINOR,"GROUND TAXI, OTHER AIRPLANE",GLASAIR,GLASAIR-SH2,NULL,NULL,PERSONAL,GENERAL OPERATING RULES,UNKNOWN,49RV ,0,0,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL
20000113000679I,13-JAN-00,MOBILE,AL,MOBILE DOWNTOWN,INCIDENT,MINOR,LEVEL OFF TOUCHDOWN,PIPER,PA-34,PA-34-200T,AIR RELDAN INC,AIR TAXI (NON-SCHEDULED),AIR TAXI/COMMUTER,UNKNOWN,304CW,0,0,CONT  ,TSIO360*     ,O360  ,2,AIRLINE TRANSPORT PILOT FLIGHT INSTRUCTOR,11000,583,NULL,NULL
20000113002299I,13-JAN-00,TERRELL,TX,TERRELL MUNI,INCIDENT,SUBSTANTIAL,LEVEL OFF TOUCHDOWN,BEECH,BE-35,BE-35-V35B,NULL,PERSONAL,GENERAL OPERATING RULES,UNKNOWN,4764Y,0,0,NULL,NULL,NULL,1,COMMERCIAL PILOT,13700,100,NULL,NULL
20000113002409I,13-JAN-00,CHANDLER,AZ,CHANDLER MUNI,INCIDENT,SUBSTANTIAL,LEVEL OFF TOUCHDOWN,PIPER,PA-34,PA-34-200,NULL,OTHER,GENERAL OPERATING RULES,UNKNOWN,15120,0,0,NULL,NULL,NULL,2,COMMERCIAL PILOT FLIGHT INSTRUCTOR,730,40,NULL,NULL
20000113003199I,13-JAN-00,FORT WAYNE,IN,FORT WAYNE INTL,INCIDENT,MINOR,NORMAL CRUISE,ROCKWELL,SABRELINER,40,NULL,EXECUTIVE,GENERAL OPERATING RULES,UNKNOWN,111AC,0,0,PWA   ,JT12A6A      ,JT12  ,2,AIRLINE TRANSPORT PILOT FLIGHT INSTRUCTOR,13500,300,NULL,NULL
20000113003529I,13-JAN-00,SARASOTA,FL,SARASOTA/BRADENTON INTL,INCIDENT,MINOR,FCD/PREC LDG FROM CRUISE,CESSNA,CE-177,CE-177-RG,NULL,PERSONAL,GENERAL OPERATING RULES,UNKNOWN,34014,0,0,LYC   ,IO360A1B6    ,O360  ,1,PRIVATE PILOT,550,60,NULL,NULL
