aids_report_number,local_event_date,event_city,event_state,event_airport,event_type,aircraft_damage,flight_phase,aircraft_make,aircraft_model,aircraft_series,operator,primary_flight_type,flight_conduct_code,flight_plan_filed_code,aircraft_registration_nbr,total_fatalities,total_injuries,aircraft_engine_make,aircraft_engine_model,engine_group_code,nbr_of_engines,pic_certificate_type,pic_flight_time_total_hrs,pic_flight_time_total_make-model,NULL,NULL
19800101011119I,01-JAN-80,CENTER,CO,NULL,INCIDENT,MINOR,LOW LEVEL OPERATIONS,PIPER,PA-J3C,PA-J3C-65,NULL,OTHER,GENERAL OPERATING RULES,NULL,2010M,0,0,NULL,NULL,NULL,1,PRIVATE PILOT,925,225,0,0
19800101011129I,01-JAN-80,LAWTON,OK,NULL,INCIDENT,MINOR,ROLL-OUT (FIXED WING),PIPER,PA-28R,PA-28R-200,NULL,PERSONAL,GENERAL OPERATING RULES,NULL,56864,0,0,NULL,NULL,NULL,1,PRIVATE PILOT,117,10,0,0
19800101011139I,01-JAN-80,SUNDANCE,WY,NULL,INCIDENT,MINOR,TOUCH AND GO LANDING,PIPER,PA-28R,PA-28R-200,NULL,INSTRUCTION,GENERAL OPERATING RULES,NULL,2738R,0,0,NULL,NULL,NULL,1,STUDENT,37,33,0,0
19800101011219I,01-JAN-80,MURDO,SD,MURDO MUNI,INCIDENT,MINOR,STARTING ENGINES,BLANCA,BL-7,BL-7-AC,NULL,PERSONAL,GENERAL OPERATING RULES,NULL,2700E,0,0,NULL,NULL,NULL,1,COMMERCIAL PILOT,1206,15,0,0
19800101011229I,01-JAN-80,NULL,WA,NULL,INCIDENT,MINOR,NORMAL CRUISE,RAYTHEON,99,NULL,CASCADE AIRWAYS INC,AIR TAXI (NON-SCHEDULED),AIR TAXI/COMMUTER,NULL,8012R,0,0,NULL,NULL,NULL,2,AIRLINE TRANSPORT,7000,2000,0,0
19800101011239I,01-JAN-80,HOUSTON,TX,NULL,INCIDENT,MINOR,"GROUND TAXI, OTHER AIRPLANE",GULSTM,GA-AA,GA-AA-5B,NULL,PERSONAL,GENERAL OPERATING RULES,NULL,23JK ,0,0,NULL,NULL,NULL,1,COMMERCIAL PILOT,1800,500,0,0
19800101011249I,01-JAN-80,SPRINGDALE,AR,SPRINGDALE MUNI,INCIDENT,MINOR,TAKEOFF GROUND ROLL,PIPER,PA-23,PA-23-250,SPRINGDALE AIR SERVICE INC,AIR TAXI (NON-SCHEDULED),AIR TAXI/COMMUTER,NULL,74JF ,0,0,NULL,NULL,NULL,2,COMMERCIAL PILOT,3650,600,0,0
19800101013459I,01-JAN-80,MOORESVILLE,NC,LAKE NORMAN AIRPARK,INCIDENT,MINOR,FORCED LANDING,PIPER,L-4,NULL,NULL,PERSONAL,GENERAL OPERATING RULES,NULL,92025,0,0,CONT  ,A759         ,A75   ,1,COMMERCIAL PILOT,550,20,0,0
19800102010209I,02-JAN-80,MINNEAPOLIS,MN,MINNEAPOLIS INTL,INCIDENT,NULL,CLIMB,CONVAIR-GENERAL DYNAMICS,CV-340,NULL,NULL,BUSINESS,GENERAL OPERATING RULES,NULL,4814C,0,0,PWA   ,R2800*       ,R2800 ,2,COMMERCIAL PILOT,16000,900,0,0
19800102010239I,02-JAN-80,PITTSBURGH,PA,PITTSBURGH INTL,INCIDENT,NULL,NORMAL CRUISE,BOEING,727,100,TRANS WORLD AIRLINES INC,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,NULL,855TW,0,0,PWA   ,JT8D1        ,JT8   ,3,NULL,NULL,0,0,0
19800102010249I,02-JAN-80,SARGENT,TX,NULL,INCIDENT,NULL,FCD/PREC LDG FROM CRUISE,BELL,BHT-206,BHT-206-B,COMMERCIAL HELICOPTERS,AIR TAXI (NON-SCHEDULED),AIR TAXI/COMMUTER,NULL,2757C,0,0,NULL,NULL,NULL,1,AIRLINE TRANSPORT,400,200,0,0
19800102010939I,02-JAN-80,ST THOMAS,VI,CYRIL E KING,INCIDENT,MINOR,TAKEOFF GROUND ROLL,BEECH,BE-18,BE-18-D18C,VIRGIN AIR INC,AIR TAXI (SCHEDULED- NOT COMMUTER),AIR TAXI/COMMUTER,NULL,625B ,0,0,NULL,NULL,NULL,2,COMMERCIAL PILOT,2779,890,0,0
19800102010949I,02-JAN-80,SAN JOSE,CA,NORMAN Y. MINETA SAN JOSE INTL,INCIDENT,MINOR,"GROUND TAXI, OTHER AIRPLANE",CESSNA,CE-206,NULL,NULL,BUSINESS,GENERAL OPERATING RULES,NULL,7458Q,0,0,NULL,NULL,NULL,1,PRIVATE PILOT,1500,2,0,0
19800102010959I,02-JAN-80,PENDLETON,OR,PENDLETON MUNI,INCIDENT,MINOR,CLIMB,SWEARINGEN-FAIRCHILD,SA-226,SA-226-TC,AIR OREGON INC,AIR TAXI COMMUTER (SCHEDULED 5 OR MORE ROUNDTRIPS PER WEEK),AIR TAXI/COMMUTER,NULL,5476M,0,0,NULL,NULL,NULL,2,AIRLINE TRANSPORT,3200,460,0,0
19800102010969I,02-JAN-80,NEW CUMBERLAND,PA,CAPITAL CITY,INCIDENT,NULL,NORMAL CRUISE,CESSNA,CE-337,NULL,NULL,PERSONAL,GENERAL OPERATING RULES,NULL,CGQQY,0,0,CONT  ,IO360C       ,O360  ,2,UNKNOWN/FOREIGN,1800,40,0,0
19800102010979I,02-JAN-80,COLUMBUS,OH,PORT COLUMBUS INTL,INCIDENT,MINOR,"GROUND TAXI, OTHER AIRPLANE",CONVAIR-GENERAL DYNAMICS,CV-240,NULL,WRIGHT AIR LINES INC,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,NULL,74855,0,0,NULL,NULL,NULL,NULL,AIRLINE TRANSPORT,13800,2200,0,0
19800103000249I,03-JAN-80,LEMINGTON,VT,NULL,INCIDENT,MINOR,LEVEL OFF TOUCHDOWN,CESSNA,CE-150,CE-150-G,NULL,PERSONAL,GENERAL OPERATING RULES,NULL,4074J,0,0,NULL,NULL,NULL,1,PRIVATE PILOT,236,171,0,0
19800103010169I,03-JAN-80,DETROIT,MI,METRO FLD,INCIDENT,NULL,TO INITIAL CLIMB (1ST POWER REDUCTION),MCDONNELL-DOUGLAS-BOEING,DC-9,31CF,US AIRWAYS INC,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,NULL,943VJ,0,0,NULL,NULL,NULL,2,AIRLINE TRANSPORT,NULL,0,0,0
19800103010189I,03-JAN-80,GROTON,CT,NULL,INCIDENT,NULL,ROLL-OUT (FIXED WING),CESSNA,CE-150,CE-150-L,NULL,INSTRUCTION,GENERAL OPERATING RULES,NULL,18081,0,0,NULL,NULL,NULL,1,STUDENT,42,42,0,0
19800103010199I,03-JAN-80,ROTAN,TX,FISHER COUNTY,INCIDENT,MINOR,TO ABORTED (FIXED WING),MOONEY,M-20,M-20-C,NULL,PERSONAL,GENERAL OPERATING RULES,NULL,6881V,0,0,NULL,NULL,NULL,1,PRIVATE PILOT,300,133,0,0
19800103010219I,03-JAN-80,INDIANAPOLIS,IN,NULL,INCIDENT,MINOR,NORMAL CRUISE,BOEING,727,200,UNITED AIR LINES INC,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,NULL,7626U,0,0,NULL,NULL,NULL,3,NULL,NULL,0,0,0
