aids_report_number,local_event_date,event_city,event_state,event_airport,event_type,aircraft_damage,flight_phase,aircraft_make,aircraft_model,aircraft_series,operator,primary_flight_type,flight_conduct_code,flight_plan_filed_code,aircraft_registration_nbr,total_fatalities,total_injuries,aircraft_engine_make,aircraft_engine_model,engine_group_code,nbr_of_engines,pic_certificate_type,pic_flight_time_total_hrs,pic_flight_time_total_make-model,NULL,NULL
20150102002209I,02-JAN-15,NULL,AK,NULL,INCIDENT,MINOR,LANDING: ROLLOUT,PIPER,PA-18,NULL,NULL,NULL,GENERAL OPERATING RULES,NULL,1270A,0,0,LYCOMI,0-290 SERIES ,NULL,NULL,COMMERCIAL PILOT FLIGHT INSTRUCTOR,3466,75,NULL,NULL
20150103000029I,03-JAN-15,BEAUMONT,TX,NULL,INCIDENT,SUBSTANTIAL,LANDING: APPROACH,PIPER,PA-46,PA-46-310P,NULL,NULL,GENERAL OPERATING RULES,NULL,20DP ,0,0,CONT M,TSIO-520 SER ,NULL,NULL,COMMERCIAL PILOT,3100,NULL,NULL,NULL
20150104000019I,04-JAN-15,BEAUMONT,TX,JACK BROOKS RGNL,INCIDENT,MINOR,LANDING: ROLLOUT,MOONEY,M-20,M-20-K,NULL,NULL,GENERAL OPERATING RULES,NULL,1152L,0,0,CONT M,TSIO-360 SER ,NULL,1,COMMERCIAL PILOT FLIGHT INSTRUCTOR,2800,NULL,NULL,NULL
20150105000069I,05-JAN-15,WEST POINT,MS,HOSPITAL WING,INCIDENT,MINOR,CRUISE-LEVEL FLIGHT,EUROCOPTER,EC-130,EC-130-B4,MEM MED CTR AIR AMBULANCE SERV INC,NULL,AIR TAXI/COMMUTER,NULL,859HW,0,0,TURBOM,ARRIEL 2B1   ,NULL,NULL,NULL,NULL,NULL,NULL,NULL
20150105000269I,05-JAN-15,GLENDALE,AZ,LUKE AFB,INCIDENT,NONE,OTHER-SPECIFY,CESSNA,CE-172,CE-172-S,WESTWIND SCHOOL OF AERONAUTICS,NULL,PILOT SCHOOLS,NULL,678WW,0,0,LYCOMI,I0360 SER A&C,NULL,1,NULL,NULL,NULL,NULL,NULL
20150105000399I,05-JAN-15,JUNEAU,AK,SNETTISHAM,INCIDENT,MINOR,LANDING: ROLLOUT,DE HAVILLAND-BOMBARDIER,DHC-2,DHC-2-MKI,WARD AIR INC,NULL,AIR TAXI/COMMUTER,NULL,62358,0,0,NONE  ,NONE         ,NULL,NULL,COMMERCIAL PILOT,21000,7000,NULL,NULL
20150105001349I,05-JAN-15,LONG BEACH,CA,LONG BEACH /DAUGHERTY FIELD/,INCIDENT,MINOR,LANDING: ROLLOUT,PIPER,PA-44,PA-44-180,NULL,NULL,GENERAL OPERATING RULES,NULL,2126X,0,0,LYCOMI,O&VO-360 SER ,NULL,NULL,NULL,NULL,NULL,NULL,NULL
20150106000059I,06-JAN-15,ALBANY,NY,ALBANY INTL,INCIDENT,NONE,GROUND-RAMP,CANADAIR-BOMBARDIER,CRJ REGIONAL JET,NULL,JET SOLUTIONS LLC,NULL,AIR TAXI/COMMUTER,NULL,550FX,0,0,HONEYW,AS907-1-1A   ,NULL,NULL,AIRLINE TRANSPORT,12590,3387,NULL,NULL
20150106000279I,06-JAN-15,MESA,AZ,FALCON FLD,INCIDENT,MINOR,TAXI,KITFOX,NULL,NULL,NULL,NULL,GENERAL OPERATING RULES,NULL,252  ,0,0,LYCOMI,0-290 SERIES ,D2    ,NULL,COMMERCIAL PILOT FLIGHT INSTRUCTOR,1699,141,NULL,NULL
20150106001889I,06-JAN-15,ORLANDO,FL,EXECUTIVE,INCIDENT,MINOR,LANDING: APPROACH,CZECH SPORT,CZAW SPORTCRUISER,NULL,NULL,NULL,GENERAL OPERATING RULES,NULL,385PR,0,0,ROTAX ,912ULS       ,NULL,1,NULL,NULL,NULL,NULL,NULL
20150107000149I,07-JAN-15,BOLIVAR,TX,NULL,INCIDENT,MINOR,MANEUVER,CESSNA,CE-152,NULL,NULL,NULL,PILOT SCHOOLS,NULL,965AA,0,0,LYCOMI,0-235 SERIES ,0-235 ,1,PRIVATE PILOT FLIGHT INSTRUCTOR,1000,40,NULL,NULL
20150107000189I,07-JAN-15,ROCHESTER,MN,ROCHESTER INTL,INCIDENT,MINOR,TAKEOFF: CLIMB OUT,RAYTHEON,NULL,NULL,TRAVEL MANAGEMENT COMPANY LTD,NULL,AIR TAXI/COMMUTER,NULL,429TM,0,0,NULL,NULL,NULL,NULL,AIRLINE TRANSPORT,10189,1897,NULL,NULL
20150107000431I,07-JAN-15,DULLES,VA,WASHINGTON DULLES INTL,INCIDENT,MINOR,TAXI,BOEING,737,700,NULL,NULL,GENERAL OPERATING RULES,NULL,836BA,0,0,CFM IN,CFM56 SERIES ,NULL,NULL,COMMERCIAL PILOT,NULL,NULL,NULL,NULL
20150107000469I,07-JAN-15,CHARLESTON,SC,CHARLESTON EXECUTIVE,INCIDENT,MINOR,LANDING: APPROACH,TECNAM,NULL,NULL,NULL,NULL,GENERAL OPERATING RULES,NULL,6912T,0,0,ROTAX ,912S         ,NULL,2,NULL,NULL,NULL,NULL,NULL
20150107006279I,07-JAN-15,MERRITT ISLAND,FL,MERRITT ISLAND,INCIDENT,NONE,CRUISE-LEVEL FLIGHT,PIPER,PA-28,PA-28-181,NULL,NULL,GENERAL OPERATING RULES,NULL,699DW,0,0,LYCOMI,O-360 SERIES ,NULL,NULL,UNKNOWN/FOREIGN,NULL,NULL,NULL,NULL
20150109000319I,09-JAN-15,FORT MYERS,FL,PAGE FIELD,INCIDENT,MINOR,LANDING: ROLLOUT,FLIGHT DESIGN,NULL,NULL,NULL,NULL,NULL,NULL,772CT,0,0,ROTAX ,912ULS       ,NULL,1,COMMERCIAL PILOT,2000,NULL,NULL,NULL
20150110000609I,10-JAN-15,FALMOUTH,KY,GENE SNYDER,INCIDENT,MINOR,LANDING: TOUCHDOWN,CESSNA,CE-182,CE-182-R,NULL,NULL,GENERAL OPERATING RULES,NULL,756RF,0,0,LYCOMI,0-540 SERIES ,O     ,1,PRIVATE PILOT,1170,113,NULL,NULL
20150110000689I,10-JAN-15,MIAMI,FL,KENDALL-TAMIAMI EXECUTIVE,INCIDENT,MINOR,LANDING: TOUCHDOWN,BEECH,BE-95,BE-95-B95,NULL,NULL,GENERAL OPERATING RULES,NULL,9404Q,0,0,CONT M,I0-470 SERIES,NULL,NULL,NULL,NULL,NULL,NULL,NULL
