aids_report_number,local_event_date,event_city,event_state,event_airport,event_type,aircraft_damage,flight_phase,aircraft_make,aircraft_model,aircraft_series,operator,primary_flight_type,flight_conduct_code,flight_plan_filed_code,aircraft_registration_nbr,total_fatalities,total_injuries,aircraft_engine_make,aircraft_engine_model,engine_group_code,nbr_of_engines,pic_certificate_type,pic_flight_time_total_hrs,pic_flight_time_total_make-model,NULL,NULL
20080102000439I,02-JAN-08,CHANDLER,AZ,CHANDLER MUNI,INCIDENT,MINOR,LEVEL OFF TOUCHDOWN,MOONEY,M-20,M-20-E,NULL,PERSONAL,GENERAL OPERATING RULES,UNKNOWN,3480X,0,0,NULL,NULL,NULL,1,PRIVATE PILOT,250,175,NULL,NULL
20080102010149I,02-JAN-08,LAS VEGAS,NV,NORTH LAS VEGAS,INCIDENT,MINOR,LEVEL OFF TOUCHDOWN,PIPER,PA-28,PA-28-235,NULL,PERSONAL,GENERAL OPERATING RULES,UNKNOWN,8675W,0,0,NULL,NULL,NULL,1,COMMERCIAL PILOT FLIGHT INSTRUCTOR,1800,700,NULL,NULL
20080102010799I,02-JAN-08,MILWAUKEE,WI,LAWRENCE J TIMMERMAN,INCIDENT,MINOR,TAKEOFF GROUND ROLL,BEECH,BE-76,NULL,NULL,PERSONAL,GENERAL OPERATING RULES,UNKNOWN,6697D,0,0,NULL,NULL,NULL,2,COMMERCIAL PILOT FLIGHT INSTRUCTOR,1145,169,NULL,NULL
20080103000269I,03-JAN-08,LOUISVILLE,KY,BOWMAN FIELD,INCIDENT,MINOR,"GROUND TAXI, OTHER AIRPLANE",BLANCA,BL-7,BL-7-ECA,NULL,PERSONAL,GENERAL OPERATING RULES,UNKNOWN,1697G,0,0,LYC   ,O235*        ,O235  ,1,PRIVATE PILOT,2082,124,NULL,NULL
20080103000429I,03-JAN-08,STAFFORD,VA,STAFFORD RGNL,INCIDENT,MINOR,LEVEL OFF TOUCHDOWN,LANCAIR,LC-320,NULL,NULL,PERSONAL,GENERAL OPERATING RULES,NONE,33AN ,0,0,NULL,NULL,NULL,1,PRIVATE PILOT,661,17,NULL,NULL
20080103010509I,03-JAN-08,ASPEN,CO,ASPEN-PITKIN CO/SARDY FIELD,INCIDENT,MINOR,FINAL APPROACH,RAYTHEON,RA-390,NULL,NULL,PERSONAL,GENERAL OPERATING RULES,UNKNOWN,300SL,0,0,NULL,NULL,NULL,2,COMMERCIAL PILOT,0,0,NULL,NULL
20080103010569I,03-JAN-08,CROOKSTON,MN,CROOKSTON MUNI KIRKWOOD FLD,INCIDENT,MINOR,LEVEL OFF TOUCHDOWN,PIPER,PA-28,PA-28-161,NULL,INSTRUCTION,GENERAL OPERATING RULES,UNKNOWN,369ND,0,1,NULL,NULL,NULL,1,STUDENT,27,27,NULL,NULL
20080104000039I,04-JAN-08,ROANOKE,TX,NORTHWEST RGNL,INCIDENT,SUBSTANTIAL,"GROUND TAXI, OTHER AIRPLANE",CESSNA,CE-172,CE-172-N,NULL,PERSONAL,GENERAL OPERATING RULES,UNKNOWN,1640E,0,0,NULL,NULL,NULL,1,COMMERCIAL PILOT,1400,1100,NULL,NULL
20080104000069I,04-JAN-08,MEDFORD,OR,ROGUE VALLEY INTL - MEDFORD,INCIDENT,NONE,FINAL APPROACH,RAYTHEON,99,C99,AMERIFLIGHT LLC,AIR TAXI (NON-SCHEDULED),AIR TAXI/COMMUTER,UNKNOWN,68TA ,0,0,PWA   ,PT6A36       ,PT6   ,2,COMMERCIAL PILOT FLIGHT INSTRUCTOR,2100,375,NULL,NULL
20080104000149I,04-JAN-08,GRAND ISLAND,NE,NULL,INCIDENT,NONE,NORMAL CRUISE,BEECH,HAWKER-1000,BEECH-HAWKER-1000,NULL,EXECUTIVE,GENERAL OPERATING RULES,UNKNOWN,548LR,0,0,PWA   ,PW305        ,305   ,2,NULL,NULL,NULL,NULL,NULL
20080104000189I,04-JAN-08,ENNIS,TX,ENNIS MUNI,INCIDENT,MINOR,FORCED LANDING,BEECH,BE-35,BE-35-K35,NULL,PERSONAL,GENERAL OPERATING RULES,NONE,814R ,0,1,CONT  ,IO470*       ,O470  ,1,PRIVATE PILOT,120,80,NULL,NULL
20080104000569I,04-JAN-08,DILLINGHAM,AK,NULL,INCIDENT,MINOR,NORMAL CRUISE,CESSNA,CE-207,CE-207-A,"SHADE, ERIC LOREN",AIR TAXI (NON-SCHEDULED),AIR TAXI/COMMUTER,UNKNOWN,6426H,0,0,NULL,NULL,NULL,1,COMMERCIAL PILOT,6500,2500,NULL,NULL
20080104010239I,04-JAN-08,MUNCIE,IN,DELAWARE COUNTY RGNL,INCIDENT,MINOR,LEVEL OFF TOUCHDOWN,SOCATA,TB-20,NULL,NULL,PERSONAL,GENERAL OPERATING RULES,UNKNOWN,115DS,0,0,NULL,NULL,NULL,1,PRIVATE PILOT,320,15,NULL,NULL
20080104010909I,04-JAN-08,CHESWOLD,DE,NULL,INCIDENT,MINOR,FINAL APPROACH,BEECH,BE-36,BE-36-A36,NULL,PERSONAL,GENERAL OPERATING RULES,UNKNOWN,12KT ,0,0,NULL,NULL,NULL,1,PILOT NOT CERTIFICATED,0,0,NULL,NULL
20080104013519I,04-JAN-08,ZEPHYRHILLS,FL,ZEPHYRHILLS MUNI,INCIDENT,NONE,PARACHUTE JUMPING,DE HAVILLAND-BOMBARDIER,DHC-6 TWIN OTTER,300 VISTA LINER,NULL,OTHER,GENERAL OPERATING RULES,NONE,716NC,0,0,NULL,NULL,NULL,2,COMMERCIAL PILOT,2420,175,NULL,NULL
20080105000209I,05-JAN-08,HARLINGEN,TX,VALLEY INTL,INCIDENT,MINOR,LEVEL OFF TOUCHDOWN,BEECH,BE-95,BE-95-55,NULL,PERSONAL,GENERAL OPERATING RULES,NONE,1246Z,0,0,CONT  ,IO470*       ,O470  ,2,PRIVATE PILOT,277,54,NULL,NULL
20080105009769I,05-JAN-08,WAVERLY,NE,NULL,INCIDENT,NONE,NORMAL CRUISE,CESSNA,CE-150,CE-150-M,NULL,INSTRUCTION,GENERAL OPERATING RULES,UNKNOWN,3011V,0,0,CONT  ,O200*        ,O200  ,1,COMMERCIAL PILOT FLIGHT INSTRUCTOR,12500,1100,NULL,NULL
20080106000049I,06-JAN-08,FORT WORTH,TX,FORT WORTH MEACHAM INTL,INCIDENT,MINOR,LEVEL OFF TOUCHDOWN,BEECH,BE-58,NULL,NULL,PERSONAL,GENERAL OPERATING RULES,UNKNOWN,21YM ,0,0,CONT  ,IO550C       ,O550  ,2,AIRLINE TRANSPORT,0,0,NULL,NULL
20080106000079I,06-JAN-08,PARKER,CO,EVERITT,INCIDENT,MINOR,FINAL APPROACH,PIPER,PA-J3C,PA-J3C-65,NULL,PERSONAL,GENERAL OPERATING RULES,UNKNOWN,70446,0,0,NULL,NULL,NULL,1,PRIVATE PILOT,220,33,NULL,NULL
20080106832379I,06-JAN-08,SACRAMENTO,CA,SACRAMENTO INTL,INCIDENT,MINOR,OTHER GROUND OPERATIONS,EMBRAER,ERJ-145,LR,EXPRESSJET AIRLINES INC,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,14562,0,0,NULL,NULL,NULL,2,NULL,0,0,NULL,NULL
20080107000139I,07-JAN-08,MELFA,VA,ACCOMACK COUNTY,INCIDENT,MINOR,LEVEL OFF TOUCHDOWN,CESSNA,CE-177,CE-177-RG,NULL,PERSONAL,GENERAL OPERATING RULES,UNKNOWN,1885Q,0,0,NULL,NULL,NULL,1,COMMERCIAL PILOT FLIGHT INSTRUCTOR,2000,1000,NULL,NULL
20080107000469I,07-JAN-08,ENGLEWOOD,CO,NULL,INCIDENT,NONE,NORMAL CRUISE,LEARJET-BOMBARDIER,LEARJET 45,NULL,JET SOLUTIONS LLC,AIR TAXI (NON-SCHEDULED),AIR TAXI/COMMUTER,INSTRUMENT FLIGHT RULES,438FX,0,0,NULL,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL
20080107012909I,07-JAN-08,VERO BEACH,FL,NULL,INCIDENT,MINOR,LEVEL OFF TOUCHDOWN,SEAREY,SEAREY,NULL,NULL,PERSONAL,GENERAL OPERATING RULES,UNKNOWN,3365C,0,1,NULL,NULL,NULL,1,COMMERCIAL PILOT,1000,60,NULL,NULL
20080107013349I,07-JAN-08,COLUMBUS,GA,COLUMBUS METROPOLITAN,INCIDENT,MINOR,FINAL APPROACH,CESSNA,CE-210,CE-210-N,NULL,EXECUTIVE,GENERAL OPERATING RULES,UNKNOWN,5401Y,0,0,NULL,NULL,NULL,1,COMMERCIAL PILOT,2407,658,NULL,NULL
20080107013559I,07-JAN-08,DELAND,FL,NULL,INCIDENT,MINOR,NORMAL CRUISE,BELL,BHT-407,NULL,VOLUSIA COUNTY SHERIFFS OFFICE,AIR TAXI (NON-SCHEDULED),GENERAL OPERATING RULES,UNKNOWN,801DS,0,0,ALLSN ,250C47B      ,250C  ,1,COMMERCIAL PILOT FLIGHT INSTRUCTOR,3120,1608,NULL,NULL
20080108000179I,08-JAN-08,NULL,PA,NULL,INCIDENT,MINOR,OTHER GROUND OPERATIONS,BUCKEYE,DREAM MACHINE,NULL,NULL,PERSONAL,GENERAL OPERATING RULES,NONE,7042R,0,0,ROTAX ,ROTAX582     ,582   ,NULL,PILOT NOT CERTIFICATED,0,0,NULL,NULL
20080108000219I,08-JAN-08,LINCOLN,NE,LINCOLN,INCIDENT,NONE,"GROUND TAXI, OTHER AIRPLANE",BOEING,737,200,AMERISTAR AIR CARGO INC,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,733TW,0,0,PWA   ,JT8D*        ,JT8   ,2,NULL,NULL,NULL,NULL,NULL
20080108000309I,08-JAN-08,BOWLING GREEN,KY,BOWLING GREEN-WARREN COUNTY RGNL,INCIDENT,MINOR,FCD/PREC LDG FROM CRUISE,PIPER,PA-46,PA-46-350P,NULL,PERSONAL,GENERAL OPERATING RULES,INSTRUMENT FLIGHT RULES,295S ,0,0,PWA   ,PT6*         ,PT6   ,1,AIRLINE TRANSPORT PILOT FLIGHT INSTRUCTOR,5000,200,NULL,NULL
20080108000519I,08-JAN-08,CALDWELL,NJ,ESSEX COUNTY,INCIDENT,MINOR,TAKEOFF GROUND ROLL,PILATS,PC-12,PC-12-45,NULL,INDUSTRIAL/SPECIAL,GENERAL OPERATING RULES,UNKNOWN,541PB,0,0,PWA   ,PT6*         ,PT6   ,1,COMMERCIAL PILOT FLIGHT INSTRUCTOR,3800,150,NULL,NULL
20080108010499I,08-JAN-08,ABERDEEN,SD,ABERDEEN RGNL,INCIDENT,MINOR,LEVEL OFF TOUCHDOWN,CESSNA,CE-177,CE-177-RG,NULL,INSTRUCTION,GENERAL OPERATING RULES,UNKNOWN,2530V,0,0,NULL,NULL,NULL,1,PRIVATE PILOT,100,100,NULL,NULL
20080108011209I,08-JAN-08,HILLSBORO,NH,HAWTHORNE-FEATHER AIRPARK,INCIDENT,MINOR,LEVEL OFF TOUCHDOWN,BLANCA,BL-7,BL-7-AC,NULL,PERSONAL,GENERAL OPERATING RULES,UNKNOWN,84556,0,0,CONT  ,A65*         ,A65   ,1,PRIVATE PILOT,2500,90,NULL,NULL
20080108013479I,08-JAN-08,SAVANNAH,GA,SAVANNAH/HILTON HEAD INTL,INCIDENT,MINOR,LEVEL OFF TOUCHDOWN,BEECH,BE-76,NULL,NULL,PERSONAL,GENERAL OPERATING RULES,UNKNOWN,682RL,0,0,NULL,NULL,NULL,2,COMMERCIAL PILOT FLIGHT INSTRUCTOR,362,22,NULL,NULL
20080108014219I,08-JAN-08,MIAMI,FL,KENDALL-TAMIAMI EXECUTIVE,INCIDENT,MINOR,LEVEL OFF TOUCHDOWN,BEECH,BE-65,BE-65-80,NULL,PERSONAL,GENERAL OPERATING RULES,UNKNOWN,6802Q,0,0,LYC   ,IO720A1B     ,O720  ,2,COMMERCIAL PILOT,7000,1000,NULL,NULL
20080109000169I,09-JAN-08,DENTON,TX,DENTON MUNI,INCIDENT,MINOR,ROLL-OUT (FIXED WING),CESSNA,CE-414,NULL,NULL,PERSONAL,GENERAL OPERATING RULES,UNKNOWN,999JL,0,0,NULL,NULL,NULL,2,AIRLINE TRANSPORT PILOT FLIGHT INSTRUCTOR,1771,25,NULL,NULL
20080109000279I,09-JAN-08,OMAHA,NE,EPPLEY AIRFIELD,INCIDENT,NONE,FINAL APPROACH,BEECH,BE-200,BE-200-B200,NULL,EXECUTIVE,GENERAL OPERATING RULES,UNKNOWN,22F  ,0,0,NULL,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL
20080109000289I,09-JAN-08,NULL,TX,NULL,INCIDENT,NONE,NORMAL CRUISE,BOEING,737,300,CONTINENTAL AIRLINES INC,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,17328,0,0,GE    ,CFM56*       ,CFM56 ,2,AIRLINE TRANSPORT,0,0,NULL,NULL
20080109000539I,09-JAN-08,SPRINGDALE,AR,SPRINGDALE MUNI,INCIDENT,MINOR,FCD/PREC LDG FROM CRUISE,PIPER,PA-28R,PA-28R-200,NULL,PERSONAL,GENERAL OPERATING RULES,UNKNOWN,54412,0,0,NULL,NULL,NULL,1,PRIVATE PILOT,284,16,NULL,NULL
20080109010769I,09-JAN-08,GARY,IN,GARY/CHICAGO INTL,INCIDENT,NONE,CLIMB,CESSNA,CITATION III (C650),NULL,NULL,PERSONAL,GENERAL OPERATING RULES,UNKNOWN,650SB,0,0,NULL,NULL,NULL,2,AIRLINE TRANSPORT,7100,760,NULL,NULL
20080109011219I,09-JAN-08,NULL,IL,DUPAGE,INCIDENT,SUBSTANTIAL,TO INITIAL CLIMB (1ST POWER REDUCTION),LEARJET-BOMBARDIER,LEARJET 45,NULL,NULL,EXECUTIVE,GENERAL OPERATING RULES,INSTRUMENT FLIGHT RULES,863CA,0,0,NULL,NULL,NULL,2,NULL,0,0,NULL,NULL
20080110000159I,10-JAN-08,VANCOUVER,WA,PEARSON FIELD,INCIDENT,MINOR,TO INITIAL CLIMB (1ST POWER REDUCTION),CESSNA,CE-152,NULL,HILLSBORO AVIATION INC,INSTRUCTION,GENERAL OPERATING RULES,UNKNOWN,80CT ,0,0,LYC   ,O235*        ,O235  ,1,COMMERCIAL PILOT FLIGHT INSTRUCTOR,960,251,NULL,NULL
20080110000249I,10-JAN-08,EAGLE,CO,NULL,INCIDENT,NONE,INITIAL APPROACH-INSTRUMENT FLIGHT RULES,BOEING,757,200,AMERICAN AIRLINES INC,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,624AA,0,0,NULL,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL
20080110000499I,10-JAN-08,LAS VEGAS,NV,NORTH LAS VEGAS,INCIDENT,MINOR,ROLL-OUT (FIXED WING),MOONEY,M-20,M-20-K,NULL,PERSONAL,GENERAL OPERATING RULES,UNKNOWN,48LW ,0,0,NULL,NULL,NULL,1,AIRLINE TRANSPORT PILOT FLIGHT INSTRUCTOR,3100,500,NULL,NULL
20080110010579I,10-JAN-08,SPRINGFIELD,IL,ABRAHAM LINCOLN CAPITAL,INCIDENT,NONE,NORMAL CRUISE,BEECH,BE-35,BE-35-V35,NULL,PERSONAL,GENERAL OPERATING RULES,NONE,3770Q,0,0,NULL,NULL,NULL,1,PRIVATE PILOT,2900,2500,NULL,NULL
20080110010659I,10-JAN-08,SPRINGFIELD,IL,ABRAHAM LINCOLN CAPITAL,INCIDENT,NONE,NORMAL CRUISE,ALON,ALON-415,ALON-415-A2,NULL,PERSONAL,GENERAL OPERATING RULES,UNKNOWN,5690F,0,0,CONT  ,C9016F       ,C90   ,1,PRIVATE PILOT,800,700,NULL,NULL
20080111000399I,11-JAN-08,FORT SCOTT,KS,FORT SCOTT MUNI,INCIDENT,MINOR,CLIMB,PIPER,PA-32,PA-32-RT300T,NULL,OTHER,GENERAL OPERATING RULES,UNKNOWN,122DM,0,0,LYC   ,TIO540S1AD   ,O540  ,1,PRIVATE PILOT,1400,960,NULL,NULL
20080111010189I,11-JAN-08,OMAHA,NE,EPPLEY AIRFIELD,INCIDENT,NONE,NORMAL CRUISE,LEARJET-BOMBARDIER,LEARJET 60,NULL,NULL,EXECUTIVE,GENERAL OPERATING RULES,INSTRUMENT FLIGHT RULES,876CS,0,0,NULL,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL
20080111011739I,11-JAN-08,SIKESTON,MO,SIKESTON MEMORIAL MUNI,INCIDENT,MINOR,LEVEL OFF TOUCHDOWN,BEECH,BE-35,BE-35-33,NULL,PERSONAL,GENERAL OPERATING RULES,UNKNOWN,976T ,0,0,NULL,NULL,NULL,1,COMMERCIAL PILOT,2400,400,NULL,NULL
20080112010609I,12-JAN-08,GRAND FORKS,ND,GRAND FORKS INTL,INCIDENT,MINOR,LEVEL OFF TOUCHDOWN,PIPER,PA-44,PA-44-180,NULL,INSTRUCTION,GENERAL OPERATING RULES,UNKNOWN,492ND,0,0,NULL,NULL,NULL,2,COMMERCIAL PILOT FLIGHT INSTRUCTOR,689,130,NULL,NULL
20080112011149I,12-JAN-08,YORK,PA,YORK,INCIDENT,MINOR,ENGINE RUN-UP,VANS,RV-8,RV-8-A,NULL,PERSONAL,GENERAL OPERATING RULES,UNKNOWN,630RL,0,0,NULL,NULL,NULL,1,PRIVATE PILOT,1150,650,NULL,NULL
20080113000549I,13-JAN-08,HALF MOON BAY,CA,HALF MOON BAY,INCIDENT,MINOR,TOUCH AND GO LANDING,BEECH,BE-77,NULL,NULL,INSTRUCTION,GENERAL OPERATING RULES,NONE,6019U,0,0,NULL,NULL,NULL,1,STUDENT,100,100,NULL,NULL
20080113009639I,13-JAN-08,MONROE,LA,MONROE RGNL,INCIDENT,MINOR,FCD/PREC LDG FROM CRUISE,MOONEY,M-20,M-20-F,NULL,PERSONAL,GENERAL OPERATING RULES,UNKNOWN,7772M,0,0,NULL,NULL,NULL,1,PRIVATE PILOT,850,250,NULL,NULL
20080113832939I,13-JAN-08,CHICAGO,IL,CHICAGO MIDWAY INTL,INCIDENT,MINOR,"GROUND TAXI, OTHER AIRPLANE",GULSTM,GA-1159,NULL,ASHEVILLE JET CHARTER AND MANAGEMENT INC,AIR TAXI (NON-SCHEDULED),AIR TAXI/COMMUTER,UNKNOWN,747NB,0,0,NULL,NULL,NULL,2,AIRLINE TRANSPORT,14500,100,NULL,NULL
20080114000579I,14-JAN-08,TUPELO,MS,TUPELO RGNL,INCIDENT,NONE,"GROUND TAXI, OTHER AIRPLANE",MOONEY,M-20,M-20-C,NULL,PERSONAL,GENERAL OPERATING RULES,UNKNOWN,6702U,0,0,NULL,NULL,NULL,1,AIRLINE TRANSPORT,55000,4,NULL,NULL
20080114010819I,14-JAN-08,CASA GRANDE,AZ,NULL,INCIDENT,MINOR,CLIMB,MOONEY,M-20,M-20-J,NULL,PERSONAL,GENERAL OPERATING RULES,UNKNOWN,201LL,0,0,NULL,NULL,NULL,1,AIRLINE TRANSPORT PILOT FLIGHT INSTRUCTOR,3500,300,NULL,NULL
20080114011519I,14-JAN-08,CARLSBAD,CA,MC CLELLAN-PALOMAR,INCIDENT,MINOR,LEVEL OFF TOUCHDOWN,BEECH,BE-35,BE-35-33,NULL,INSTRUCTION,GENERAL OPERATING RULES,UNKNOWN,939L ,0,0,NULL,NULL,NULL,1,AIRLINE TRANSPORT PILOT FLIGHT INSTRUCTOR,7000,75,NULL,NULL
20080114011989I,14-JAN-08,KAUNAKAKAI,HI,MOLOKAI,INCIDENT,NONE,FINAL APPROACH,PIPER,PA-31,PA-31-350,AIR MOLOKAI NUI INC,AIR TAXI (NON-SCHEDULED),AIR TAXI/COMMUTER,UNKNOWN,830SA,0,0,LYC   ,TIO540J2BD   ,O540  ,2,NULL,0,0,NULL,NULL
20080115000459I,15-JAN-08,CALEXICO,CA,CALEXICO INTL,INCIDENT,MINOR,LEVEL OFF TOUCHDOWN,CESSNA,CE-402,NULL,NULL,PERSONAL,GENERAL OPERATING RULES,UNKNOWN,412RW,0,0,NULL,NULL,NULL,2,COMMERCIAL PILOT,5000,100,NULL,NULL
20080115000609I,15-JAN-08,CARLSBAD,CA,NULL,INCIDENT,NONE,NORMAL CRUISE,HUGHES,HU-269,HU-269-C,NULL,INSTRUCTION,GENERAL OPERATING RULES,NONE,7507U,0,0,LYC   ,HIO360*      ,O360  ,1,COMMERCIAL PILOT,459,150,NULL,NULL
20080115013389I,15-JAN-08,CARTERSVILLE,GA,CARTERSVILLE,INCIDENT,MINOR,LEVEL OFF TOUCHDOWN,CESSNA,CE-182,CE-182-T,NULL,PERSONAL,GENERAL OPERATING RULES,UNKNOWN,6197Z,0,0,NULL,NULL,NULL,1,PRIVATE PILOT,208,82,NULL,NULL
20080115832709I,15-JAN-08,KENOSHA,WI,KENOSHA RGNL,INCIDENT,MINOR,ROLL-OUT (FIXED WING),SHORTS-BOMBARDIER,330,NULL,AIR CARGO CARRIERS INC,AIR TAXI (NON-SCHEDULED),GENERAL OPERATING RULES,UNKNOWN,330AC,0,0,PWA   ,PT6A45       ,PT6   ,2,AIRLINE TRANSPORT,6238,5581,NULL,NULL
20080116010259I,16-JAN-08,BATTLE CREEK,MI,W K KELLOGG,INCIDENT,MINOR,LEVEL OFF TOUCHDOWN,CIRRUS,CIRRUS-SR,CIRRUS-SR-20,NULL,INSTRUCTION,GENERAL OPERATING RULES,NONE,154WF,0,0,NULL,NULL,NULL,1,COMMERCIAL PILOT FLIGHT INSTRUCTOR,1289,302,NULL,NULL
20080117009659I,17-JAN-08,LINCOLN,NE,LINCOLN,INCIDENT,NONE,FINAL APPROACH,CANADAIR-BOMBARDIER,CHALLENGER,600,PINNACLE AIRLINES INC,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,820AY,0,0,NULL,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL
20080117011719I,17-JAN-08,BIGFORK,MN,BIGFORK MUNI,INCIDENT,MINOR,ROLL-OUT (FIXED WING),BEECH,BE-300,BE-300-B300,NULL,EXECUTIVE,GENERAL OPERATING RULES,UNKNOWN,964LB,0,0,PWA   ,PT6A60A      ,PT6   ,2,AIRLINE TRANSPORT,10500,1500,NULL,NULL
20080117832819I,17-JAN-08,ANCHORAGE,AK,TED STEVENS ANCHORAGE INTL,INCIDENT,MINOR,LEVEL OFF TOUCHDOWN,CESSNA,CE-402,CE-402-C,ARCTIC CIRCLE AIR SERVICE INC,AIR TAXI COMMUTER (SCHEDULED 5 OR MORE ROUNDTRIPS PER WEEK),AIR TAXI/COMMUTER,UNKNOWN,419RC,0,0,NULL,NULL,NULL,2,AIRLINE TRANSPORT,12300,0,NULL,NULL
20080118000259I,18-JAN-08,BEAUMONT,TX,NULL,INCIDENT,NONE,NORMAL CRUISE,PIAGIO,P-180,NULL,NULL,EXECUTIVE,GENERAL OPERATING RULES,UNKNOWN,156SL,0,0,NULL,NULL,NULL,2,AIRLINE TRANSPORT PILOT FLIGHT INSTRUCTOR,3142,446,NULL,NULL
20080118000409I,18-JAN-08,FALLBROOK,CA,FALLBROOK COMMUNITY AIRPARK,INCIDENT,MINOR,LEVEL OFF TOUCHDOWN,CESSNA,CE-210,CE-210-T210L,NULL,PERSONAL,GENERAL OPERATING RULES,UNKNOWN,1675X,0,0,CONT  ,TSIO520*     ,O520  ,1,PRIVATE PILOT,4000,1000,NULL,NULL
