aids_report_number,local_event_date,event_city,event_state,event_airport,event_type,aircraft_damage,flight_phase,aircraft_make,aircraft_model,aircraft_series,operator,primary_flight_type,flight_conduct_code,flight_plan_filed_code,aircraft_registration_nbr,total_fatalities,total_injuries,aircraft_engine_make,aircraft_engine_model,engine_group_code,nbr_of_engines,pic_certificate_type,pic_flight_time_total_hrs,pic_flight_time_total_make-model,NULL,NULL
20010125007139I,25-JAN-01,HAWTHORNE,CA,JACK NORTHROP FIELD/HAWTHORNE MUNI,INCIDENT,MINOR,"GROUND TAXI, OTHER AIRPLANE",BEECH,BE-76,NULL,NULL,PERSONAL,GENERAL OPERATING RULES,UNKNOWN,803FC,0,0,NULL,NULL,NULL,2,COMMERCIAL PILOT,308,19,NULL,NULL
20010126002289I,26-JAN-01,PITTSBURGH,PA,PITTSBURGH INTL,INCIDENT,NULL,CLIMB,PIPER,PA-46,PA-46-310P,NULL,PERSONAL,GENERAL OPERATING RULES,UNKNOWN,121GP,0,0,CONT  ,TSIO520BE    ,O520  ,1,NULL,NULL,NULL,NULL,NULL
20010126005429I,26-JAN-01,CHICAGO,IL,CHICAGO O'HARE INTL,INCIDENT,MINOR,"GROUND TAXI, OTHER AIRPLANE",MCDONNELL-DOUGLAS-BOEING,MD-80,82,AMERICAN AIRLINES INC,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,7518A,0,0,NULL,NULL,NULL,2,AIRLINE TRANSPORT PILOT FLIGHT INSTRUCTOR,4000,131,NULL,NULL
20010126013019I,26-JAN-01,CLINTON,IL,NULL,INCIDENT,NULL,NORMAL CRUISE,BLANCA,BL-7,BL-7-ECA,NULL,PERSONAL,GENERAL OPERATING RULES,UNKNOWN,9571S,0,0,NULL,NULL,NULL,1,COMMERCIAL PILOT FLIGHT INSTRUCTOR,1050,650,NULL,NULL
20010127000559I,27-JAN-01,DETROIT,MI,WILLOW RUN,INCIDENT,MINOR,TAKEOFF GROUND ROLL,PIPER,PA-32,PA-32-R300,NULL,INSTRUCTION,GENERAL OPERATING RULES,UNKNOWN,1919H,0,0,LYC   ,TIO540*      ,O540  ,1,COMMERCIAL PILOT FLIGHT INSTRUCTOR,615,98,NULL,NULL
20010127000659I,27-JAN-01,HARBOR SPRINGS,MI,HARBOR SPRINGS,INCIDENT,MINOR,ROLL-OUT (FIXED WING),CESSNA,CE-421,CE-421-B,NULL,PERSONAL,GENERAL OPERATING RULES,UNKNOWN,990MW,0,0,NULL,NULL,NULL,2,PRIVATE PILOT,1656,276,NULL,NULL
20010127001029I,27-JAN-01,ALBERTVILLE,AL,ALBERTVILLE RGNL-THOMAS J BRUMLIK FLD,INCIDENT,MINOR,LEVEL OFF TOUCHDOWN,BEECH,BE-23,BE-23-C24R,NULL,PERSONAL,GENERAL OPERATING RULES,UNKNOWN,66336,0,0,CONT  ,IO360*       ,IO360 ,1,PRIVATE PILOT,500,40,NULL,NULL
20010127001179I,27-JAN-01,PITTSBURGH,PA,PITTSBURGH INTL,INCIDENT,NULL,"GROUND TAXI, OTHER AIRPLANE",LEARJET-BOMBARDIER,LEARJET 45,NULL,NULL,EXECUTIVE,GENERAL OPERATING RULES,UNKNOWN,741E ,0,0,NULL,NULL,NULL,2,AIRLINE TRANSPORT PILOT FLIGHT INSTRUCTOR,12000,900,NULL,NULL
20010128000549I,28-JAN-01,JEFFERSON,GA,JACKSON COUNTY,INCIDENT,MINOR,TOUCH AND GO LANDING,LUSCMB,LL-8,LL-8-E,NULL,PERSONAL,GENERAL OPERATING RULES,UNKNOWN,1594K,0,0,NULL,NULL,NULL,1,COMMERCIAL PILOT,133,113,NULL,NULL
20010128001769I,28-JAN-01,PORTLAND,OR,PORTLAND INTL,INCIDENT,NULL,CLIMB,DE HAVILLAND-BOMBARDIER,DASH 8,100,HORIZON AIR INDUSTRIES INC,SUPPLEMENTAL OR COMMERCIAL OPERATOR,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,828PH,0,0,PWA   ,PW120        ,120   ,2,NULL,NULL,NULL,NULL,NULL
