aids_report_number,local_event_date,event_city,event_state,event_airport,event_type,aircraft_damage,flight_phase,aircraft_make,aircraft_model,aircraft_series,operator,primary_flight_type,flight_conduct_code,flight_plan_filed_code,aircraft_registration_nbr,total_fatalities,total_injuries,aircraft_engine_make,aircraft_engine_model,engine_group_code,nbr_of_engines,pic_certificate_type,pic_flight_time_total_hrs,pic_flight_time_total_make-model,NULL,NULL
19990109008779I,09-JAN-99,MINNEAPOLIS,MN,MINNEAPOLIS-ST PAUL INTL/WOLD-CHAMBERLAIN,INCIDENT,NULL,CLIMB,BOEING,727,200,UNITED AIR LINES INC,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,7449U,0,0,NULL,NULL,NULL,3,NULL,NULL,NULL,NULL,NULL
19990109016369I,09-JAN-99,TETERBORO,NJ,TETERBORO,INCIDENT,MINOR,"GROUND TAXI, OTHER AIRPLANE",CESSNA,CE-402,CE-402-C,PRIMAC COURIER INC,AIR TAXI (NON-SCHEDULED),AIR TAXI/COMMUTER,INSTRUMENT FLIGHT RULES,30LT ,0,0,NULL,NULL,NULL,2,COMMERCIAL PILOT FLIGHT INSTRUCTOR,320,20,NULL,NULL
19990110005739I,10-JAN-99,ALTOONA,PA,ALTOONA-BLAIR COUNTY,INCIDENT,MINOR,"GROUND TAXI, OTHER AIRPLANE",BEECH,BE-90,BE-90-F90,NULL,PERSONAL,GENERAL OPERATING RULES,INSTRUMENT FLIGHT RULES,424CP,0,0,NULL,NULL,NULL,2,AIRLINE TRANSPORT,11570,339,84,84
19990110005779I,10-JAN-99,ROCHESTER,NY,GREATER ROCHESTER INTL,INCIDENT,MINOR,OTHER GROUND OPERATIONS,BOEING,727,200,DELTA AIR LINES INC,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,8875Z,0,0,PWA   ,JT8D15       ,JT8   ,3,NULL,NULL,NULL,NULL,NULL
19990110008579I,10-JAN-99,NUCLA,CO,HOPKINS FIELD,INCIDENT,NULL,FCD/PREC LDG FROM CRUISE,MOONEY,M-20,M-20-K,NULL,PERSONAL,GENERAL OPERATING RULES,NONE,123VW,0,0,NULL,NULL,NULL,1,PRIVATE PILOT,1218,575,42,42
19990110012869I,10-JAN-99,CEDAR CITY,UT,CEDAR CITY RGNL,INCIDENT,NULL,TO ABORTED (FIXED WING),ISRAEL AIRCRAFT INDUSTRIES,WESTWIND,1124A,NULL,EXECUTIVE,GENERAL OPERATING RULES,INSTRUMENT FLIGHT RULES,407W ,0,0,NULL,NULL,NULL,2,AIRLINE TRANSPORT,5200,320,NULL,NULL
19990110020879I,10-JAN-99,CLEVELAND,OH,CLEVELAND-HOPKINS INTL,INCIDENT,NULL,OTHER GROUND OPERATIONS,NULL,NULL,NULL,DELTA AIR LINES INC,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,UNKNO,0,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
19990110023469I,10-JAN-99,MOBILE,AL,MOBILE RGNL,INCIDENT,MINOR,FCD/PREC LDG FROM CRUISE,PIPER,PA-32,PA-32-R300,NULL,PERSONAL,GENERAL OPERATING RULES,NONE,143DM,0,0,NULL,NULL,NULL,1,PRIVATE PILOT,7250,3010,132,132
19990110039219I,10-JAN-99,ZEPHYRHILLS,FL,ZEPHYRHILLS MUNI,INCIDENT,NULL,PARACHUTE JUMPING,DE HAVILLAND-BOMBARDIER,DHC-6 TWIN OTTER,200,NULL,OTHER,PARACHUTE JUMPING,UNKNOWN,716NC,0,0,NULL,NULL,NULL,2,COMMERCIAL PILOT FLIGHT INSTRUCTOR,2700,1100,NULL,NULL
19990110039249I,10-JAN-99,CHARLESTON,SC,CHARLESTON EXECUTIVE,INCIDENT,SUBSTANTIAL,"GROUND TAXI, OTHER AIRPLANE",CESSNA,CE-172,CE-172-M,NULL,PERSONAL,GENERAL OPERATING RULES,UNKNOWN,73453,0,0,LYC   ,O320*        ,O320  ,1,PRIVATE PILOT,65,8,NULL,NULL
