aids_report_number,local_event_date,event_city,event_state,event_airport,event_type,aircraft_damage,flight_phase,aircraft_make,aircraft_model,aircraft_series,operator,primary_flight_type,flight_conduct_code,flight_plan_filed_code,aircraft_registration_nbr,total_fatalities,total_injuries,aircraft_engine_make,aircraft_engine_model,engine_group_code,nbr_of_engines,pic_certificate_type,pic_flight_time_total_hrs,pic_flight_time_total_make-model,NULL,NULL
20020101000199I,01-JAN-02,MIAMI,FL,MIAMI INTL,INCIDENT,NULL,ROLL-OUT (FIXED WING),MCDONNELL-DOUGLAS-BOEING,MD-80,83,CARIBBEAN AIRLINES LIMITED,SCHEDULED AIR CARRIER,FOREIGN AIR CARRIER,INSTRUMENT FLIGHT RULES,9YTHQ,0,0,NULL,NULL,NULL,2,UNKNOWN/FOREIGN,NULL,NULL,NULL,NULL
20020101000279I,01-JAN-02,MINNEAPOLIS,MN,MINNEAPOLIS-ST PAUL INTL/WOLD-CHAMBERLAIN,INCIDENT,NULL,TAKEOFF GROUND ROLL,MCDONNELL-DOUGLAS-BOEING,DC-9,31CF,ABX AIR INC,ALL CARGO CARRIERS,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,906AX,0,0,PWA   ,JT8D7        ,JT8   ,2,AIRLINE TRANSPORT PILOT FLIGHT INSTRUCTOR,13000,7365,NULL,NULL
20020101001119I,01-JAN-02,CROSS CITY,FL,CROSS CITY,INCIDENT,MINOR,ROLL-OUT (FIXED WING),BEECH,BE-95,BE-95-B55,NULL,PERSONAL,GENERAL OPERATING RULES,INSTRUMENT FLIGHT RULES,511FB,0,0,NULL,NULL,NULL,2,COMMERCIAL PILOT,4000,100,NULL,NULL
20020101001319I,01-JAN-02,SAINT PETERSBURG,FL,ST PETERSBURG-CLEARWATER INTL,INCIDENT,MINOR,TOUCH AND GO LANDING,CESSNA,CE-172,CE-172-RG,NULL,PERSONAL,GENERAL OPERATING RULES,NONE,5301R,0,0,NULL,NULL,NULL,1,COMMERCIAL PILOT FLIGHT INSTRUCTOR,837,2,NULL,NULL
20020101002509I,01-JAN-02,FORT SMITH,AR,FORT SMITH RGNL,INCIDENT,MINOR,FCD/PREC LDG FROM CRUISE,PIPER,PA-24,PA-24-250,NULL,PERSONAL,GENERAL OPERATING RULES,UNKNOWN,7084P,0,0,NULL,NULL,NULL,1,PRIVATE PILOT,290,2,NULL,NULL
20020101002709I,01-JAN-02,ALBUQUERQUE,NM,NULL,INCIDENT,MINOR,LEVEL OFF TOUCHDOWN,AERSTR,AERSTR-RX,AERSTR-RX-8,NULL,PERSONAL,GENERAL OPERATING RULES,NONE,4194C,0,0,NULL,NULL,NULL,0,PRIVATE PILOT,50,7,NULL,NULL
20020102000049I,02-JAN-02,HENDERSON,KY,HENDERSON CITY-COUNTY,INCIDENT,MINOR,NORMAL CRUISE,PIPER,PA-28R,PA-28R-180,NULL,PERSONAL,GENERAL OPERATING RULES,UNKNOWN,4588J,0,0,CONT  ,IO360*       ,IO360 ,1,PRIVATE PILOT,526,30,NULL,NULL
20020102000079I,02-JAN-02,TACOMA,WA,TACOMA NARROWS,INCIDENT,MINOR,TOUCH AND GO LANDING,PIPER,PA-34,PA-34-200,NULL,INSTRUCTION,GENERAL OPERATING RULES,NONE,1054U,0,0,NULL,NULL,NULL,2,COMMERCIAL PILOT FLIGHT INSTRUCTOR,1246,258,NULL,NULL
20020102000209I,02-JAN-02,KALSKAG,AK,KALSKAG,INCIDENT,MINOR,FCD/PREC LDG FROM CRUISE,CESSNA,CE-172,CE-172-M,INLAND AVIATION SERVICES INC,AIR TAXI (NON-SCHEDULED),AIR TAXI/COMMUTER,UNKNOWN,1453V,0,0,LYC   ,O320E2D      ,O320  ,1,COMMERCIAL PILOT FLIGHT INSTRUCTOR,810,320,NULL,NULL
20020102001469I,02-JAN-02,BOULDER CITY,NV,BOULDER CITY MUNI,INCIDENT,MINOR,LEVEL OFF TOUCHDOWN,CESSNA,CE-152,NULL,AIR EXCELL CORPORATION,INSTRUCTION,GENERAL OPERATING RULES,NONE,67443,0,0,LYC   ,O235L2C      ,O235  ,1,STUDENT,40,29,NULL,NULL
