aids_report_number,local_event_date,event_city,event_state,event_airport,event_type,aircraft_damage,flight_phase,aircraft_make,aircraft_model,aircraft_series,operator,primary_flight_type,flight_conduct_code,flight_plan_filed_code,aircraft_registration_nbr,total_fatalities,total_injuries,aircraft_engine_make,aircraft_engine_model,engine_group_code,nbr_of_engines,pic_certificate_type,pic_flight_time_total_hrs,pic_flight_time_total_make-model,NULL,NULL
19950110001649I,10-JAN-95,MIDDLETOWN,PA,HARRISBURG INTL,INCIDENT,MINOR,FCD/PREC LDG FROM CRUISE,BEECH,BE-90,BE-90-E90,NULL,EXECUTIVE,GENERAL OPERATING RULES,INSTRUMENT FLIGHT RULES,232CL,0,0,PWA   ,PT6A28       ,PT6   ,2,AIRLINE TRANSPORT,5590,1605,128,128
19950110001849I,10-JAN-95,CAHOKIA,IL,ST LOUIS DOWNTOWN,INCIDENT,MINOR,ROLL-OUT (FIXED WING),DASSAULT AVIATION,FALCON 20-200,C,NULL,EXECUTIVE,GENERAL OPERATING RULES,INSTRUMENT FLIGHT RULES,606RP,0,0,NULL,NULL,NULL,2,AIRLINE TRANSPORT,8570,3597,28,28
19950110002439I,10-JAN-95,RALEIGH,NC,RALEIGH-DURHAM INTL,INCIDENT,MINOR,"GROUND TAXI, OTHER AIRPLANE",CESSNA,CE-206,CE-206-P206B,NULL,PERSONAL,GENERAL OPERATING RULES,UNKNOWN,4786F,0,0,NULL,NULL,NULL,1,PRIVATE PILOT,NULL,500,NULL,NULL
19950110002809I,10-JAN-95,PORTLAND,OR,PORTLAND-HILLSBORO,INCIDENT,MINOR,"GROUND TAXI, OTHER AIRPLANE",GRTLKS,GRTLKS-2T1,GRTLKS-2T1-A2,NULL,PERSONAL,GENERAL OPERATING RULES,NONE,44SJ ,0,0,NULL,NULL,NULL,1,PRIVATE PILOT,900,700,2,2
19950110003749I,10-JAN-95,AKUTAN,AK,NULL,INCIDENT,MINOR,LEVEL OFF TOUCHDOWN,GULSTM,GA-44,NULL,PENINSULA AIRWAYS INC,AIR TAXI (NON-SCHEDULED),AIR TAXI/COMMUTER,VISUAL FLIGHT RULES,141R ,0,0,NULL,NULL,NULL,2,AIRLINE TRANSPORT,3700,500,150,150
19950110005719I,10-JAN-95,RIFLE,CO,GARFIELD COUNTY RGNL,INCIDENT,MINOR,ROLL-OUT (FIXED WING),BEECH,BE-36,BE-36-A36,NULL,PERSONAL,GENERAL OPERATING RULES,UNKNOWN,457MS,0,0,NULL,NULL,NULL,1,PRIVATE PILOT,390,25,25,25
19950111001669I,11-JAN-95,GEORGETOWN,TX,GEORGETOWN MUNI,INCIDENT,MINOR,FCD/PREC LDG FROM CRUISE,CESSNA,CE-310,CE-310-R,NULL,OTHER,GENERAL OPERATING RULES,INSTRUMENT FLIGHT RULES,3208M,0,0,CONT  ,IO520MB      ,O520  ,2,COMMERCIAL PILOT,7800,547,44,44
19950111002429I,11-JAN-95,JACKSONVILLE,FL,JACKSONVILLE EXECUTIVE AT CRAIG,INCIDENT,MINOR,"GROUND TAXI, OTHER AIRPLANE",BEECH,BE-58,NULL,FLIGHT EXPRESS INC,AIR TAXI (NON-SCHEDULED),AIR TAXI/COMMUTER,INSTRUMENT FLIGHT RULES,4626A,0,0,NULL,NULL,NULL,2,AIRLINE TRANSPORT,4869,1600,225,225
19950111002679I,11-JAN-95,JACKSONVILLE,FL,JACKSONVILLE EXECUTIVE AT CRAIG,INCIDENT,MINOR,IDLING ENGINES,PIPER,PA-31,PA-31-350,CORPORATE AIRWAYS INC,AIR TAXI (NON-SCHEDULED),AIR TAXI/COMMUTER,INSTRUMENT FLIGHT RULES,2UF  ,0,0,NULL,NULL,NULL,2,AIRLINE TRANSPORT,4300,2000,150,150
19950111003449I,11-JAN-95,OMAHA,NE,EPPLEY AIRFIELD,INCIDENT,NULL,TO ABORTED (FIXED WING),SWEARINGEN-FAIRCHILD,SA-227,SA-227-AC,MESABA AVIATION INC,AIR TAXI COMMUTER (SCHEDULED 5 OR MORE ROUNDTRIPS PER WEEK),AIR TAXI/COMMUTER,INSTRUMENT FLIGHT RULES,421MA,0,0,NULL,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL
